stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,12.59,0,0,0,6.29,0,0,0,0
 14-21,0,4,68,2,2,0,1,0,1,3,0,14,10,13,0,0,0,0,21,14,3,11,36,19,1
 24-34,0,7.39,96.86,2.46,1.64,2.46,2.46,1.64,9.85,1.64,1.64,52.53,69.77,15.6,0.82,0.82,0,0,31.19,0.82,0,42.68,41.86,74.7,0.82
 36-46,0,0,8.86,0,0.81,1.61,0,0.81,5.64,0,0.81,24.98,16.11,3.22,0,0,0,0.81,8.06,0,0,18.53,0.81,10.47,0
 48-58,0,0,1.15,0,1.15,0,0,1.15,0,0.57,0,1.72,3.44,1.15,0,0,0,0,0.57,0,0,8.61,0,1.72,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,3.93,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,5.31,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,4.25,0,1.06,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0,0,1.53,0,0.77,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
