stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,15.73,0,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,8,1,5,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,3,79,4,1,0,1,0,0,1,8,0,0,3,37,0,0,1,0,0
 24-34,0,0,0,6.57,0.82,13.95,0,0.82,3.28,0,0.82,0,0,0,0,0,0,0,8.21,0,0,2.46,244.62,0.82,2.46,0,0,0,1.64,0,0,0.82,0,0,66.49,0,0,3.28,0,0
 36-46,0,0.81,0,1.61,0,31.42,0,0.81,12.09,0,0,0,1.61,0.81,0,1.61,0,0,9.67,0,0,1.61,344.83,0,0.81,0,0,0,1.61,0,0,0.81,0,0.81,82.18,0,0,3.22,0,0.81
 48-58,0,0,0,2.3,0,67.14,0,0,20.66,0,0,0.57,0.57,0.57,0,0,0.57,0,9.18,0,0.57,0.57,265.67,0,0,0,0,0,0.57,0,0,0,0,0,74.59,0,0,0.57,0,0
 60-70,0,0.98,0,0,0,83.43,0,0.98,33.37,0.98,0,0,0,0,0,0.98,0,0.98,18.65,0,0,0.98,251.27,0,1.96,0.98,0,0.98,1.96,0,0,1.96,0,0,45.15,0,0,0.98,0,0
 72-82,0,0.98,0,5.89,0,95.22,0,0.98,26.5,0.98,0,0.98,0.98,1.96,0,0.98,0,0.98,16.69,0,0,0,209.09,0,1.96,0,0,0,0,0,0,0,0,0,15.71,0.98,0.98,1.96,0.98,1.96
 84-94,0,1.06,0,3.19,0,54.16,0,1.06,15.93,1.06,0,0,4.25,1.06,1.06,2.12,0,0,14.87,0,0,1.06,106.2,0,0,5.31,0,0,0,0,0,1.06,0,0,14.87,0,0,4.25,0,0
 96-106,0,0,0,2.19,0,34.97,0,0,19.67,1.09,0,0,3.28,2.19,0,0,0,0,4.37,1.09,1.09,0,90.71,0,0,1.09,0,0,1.09,0,0,1.09,1.09,0,4.37,0,0,1.09,0,0
108-118,0,0,0,0.77,0,30.64,0.77,0.77,12.26,0.77,0,0,1.53,0,0.77,1.53,0,0,4.6,0,0,0,75.06,0.77,0.77,0.77,0,0.77,0,0,0,0,0,0,3.06,0.77,0.77,4.6,0,0.77
120,0,0,0,0,0,37.24,0,0,5.88,3.92,0,0,1.96,0,0,0,1.96,0,7.84,0,0,0,78.39,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0
