stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,73.56,821.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,2.63,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,99.89,2.63,0,0,18.4,2.63,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,75.53,3.15,0,0,34.62,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,1,7,3,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,29,1,2,4,1,1,0,3,1,1,12,0,0,1,0
 24-34,0,0,1.64,0,4.1,1.64,0,6.57,0,0,0.82,4.93,0,0,0,0,0,0.82,4.1,0,0,2.46,71.41,0,7.39,3.28,0,1.64,0,0,0.82,2.46,15.6,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,22.56,0,0,0,2.42,0.81,0,0,0,0,1.61,4.83,0,0.81,1.61,113.6,0,5.64,3.22,0,2.42,0,0,0.81,0,21.75,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,38.44,0,0,0,3.44,0,0,0,0,0.57,0.57,4.59,0,0,0,70.58,0,5.74,3.44,0,0,0,0,0.57,0,10.33,0,0,0,0
 60-70,0,0,0,0,0,0,0,133.49,0,0.98,0,8.83,0,0,0,0.98,0,0,4.91,0,0,0,99.13,0,4.91,4.91,0,0.98,0,0,0.98,0,15.7,0,0.98,1.96,0
 72-82,0,0,1.96,0,2.94,0.98,1.96,96.2,0,0,0.98,4.91,7.85,0,1.96,0,0.98,0,9.82,0.98,0.98,0.98,88.35,0,13.74,7.85,0,1.96,0,0,0,0,1.96,0,0.98,2.94,1.96
 84-94,0,0,2.12,0,4.25,2.12,4.25,88.15,1.06,0,0,4.25,6.37,0,1.06,1.06,0,6.37,6.37,0,0,2.12,46.73,0,6.37,8.5,0,4.25,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,4.37,0,7.65,0,1.09,69.94,0,1.09,0,7.65,7.65,0,2.19,1.09,2.19,5.46,3.28,0,0,1.09,49.18,0,9.84,5.46,0,10.93,0,0,0,0,2.19,0,1.09,0,0
108-118,0,0,2.3,0,8.43,4.6,8.43,50.55,0.77,0.77,0,4.6,2.3,0,0.77,0.77,1.53,1.53,3.83,0,0,1.53,66.64,0,9.96,3.83,0,9.96,0,0,0.77,0,2.3,0.77,0,0,1.53
120,0,0,0,0,5.88,3.92,0,45.08,1.96,1.96,0,9.8,3.92,0,3.92,0,3.92,3.92,5.88,0,0,1.96,70.55,0,3.92,17.64,0,7.84,1.96,0,0,0,0,0,0,1.96,0
