stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,lateral_line,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,somites,spinal_cord
  3-4,52.71,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,380.04,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0
  7-9,0,2.63,5.26,0,13.14,0,0,5.26,0,92,5.26,0,0,34.17,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,4,0,0,0,0,0,1,2,0,2,1,13
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,1.64,0,0,2.46,0,9.03
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,1.61,0.81,0,1.61,0,8.86
 48-58,0,0,0,0,0,6.31,0,0,0,0.57,0,0.57,1.15,0,0.57,0,9.75
 60-70,0,0,0,0,0,2.94,0,0,0,1.96,0,0,4.91,0,0.98,0,1.96
 72-82,0,0,0,0,0.98,2.94,0,0,2.94,0,0,2.94,4.91,0,0,0,2.94
 84-94,0,0,1.06,0,0,3.19,1.06,0,4.25,1.06,0,2.12,10.62,0,0,0,8.5
 96-106,0,0,0,0,0,1.09,0,0,10.93,0,0,2.19,17.49,0,0,0,4.37
108-118,0,0,0,0,0,1.53,0,0,5.36,0,0,3.06,7.66,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,3.92,3.92,0,1.96,9.8,0,1.96,0,3.92
