stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,10.51,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,5,1,3,0,0,0,1,1,0,2,0,0,0,6,0,0,9,9,2,0,0,0,0,0,0,0,5,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,1.64,0,0,0,2.46,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,1.61,0,0,0,0,0,0.81,0,0,4.03,0,0,0
 48-58,0,0,0,0,0,0,4.59,0,0.57,0,0,0,0,0,0,0,0,2.3,0,0,0,2.87,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,73.61,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,1.96,0.98,493.78,0,0,4.91,0,0,0,0,0.98,0,0,8.83,0,0.98,0,19.63,0,0,0,0,0.98,0,0,0,2.94,1.96,0,0
 84-94,0,0,0,0,4.25,0,486.41,0,0,0,0,0,1.06,0,0,0,1.06,6.37,0,0,1.06,9.56,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,2.19,583.58,1.09,2.19,2.19,1.09,1.09,2.19,0,2.19,0,2.19,8.74,1.09,1.09,0,13.11,0,1.09,1.09,0,2.19,0,0,1.09,1.09,0,3.28,0
108-118,0,0,0,0,3.83,0.77,419.75,0.77,0.77,1.53,0.77,0,0.77,0,0,0,0.77,5.36,0,0,0.77,23.74,0,0,0.77,0,1.53,0,0,0,0,0.77,0.77,1.53
120,0,0,0,0,1.96,0,468.39,0,0,5.88,0,0,0,0,0,1.96,0,9.8,0,0,0,17.64,0,0,1.96,0,1.96,0,0,0,3.92,0,0,0
