stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,17,0,0,0,0,0
 24-34,0.82,0.82,0,1.64,0,0,0,0,0,0.82,0,0,0.82,0,0,151.86,0,4.93,0,0,0,48.43,0,0,0,0,0
 36-46,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,356.11,0,8.86,0.81,0,0,94.26,0,0,0,0,0
 48-58,0,1.72,0,26.97,1.15,0,0,0,0,0,0,0,1.72,0.57,0,442.98,0.57,1.72,0,0,0.57,73.45,0,0,1.15,0,1.72
 60-70,0,0,0,113.86,5.89,0,0.98,0,0,0,0,0,1.96,0,0.98,821.53,0,2.94,0,0,0,91.28,0,0,0,0,0
 72-82,0,0.98,0.98,120.74,11.78,0,0,0.98,0,0,0,0,4.91,0,1.96,624.34,0,4.91,0,0.98,0,55.95,0.98,0,0,0,0
 84-94,0,3.19,0,98.77,7.43,1.06,0,0,1.06,0,0,0,2.12,1.06,0,354.72,1.06,3.19,1.06,1.06,1.06,32.92,1.06,0,0,0,0
 96-106,0,1.09,0,66.66,7.65,1.09,0,0,0,0,1.09,0,3.28,0,1.09,257.91,0,4.37,0,0,0,13.11,0,0,1.09,0,0
108-118,0,2.3,0,58.21,8.43,0.77,0,0,0.77,0,0,0.77,4.6,0.77,0,288.77,0,1.53,0,0,0,11.49,0.77,0,0,0.77,0
120,0,3.92,0,31.36,11.76,0,0,0,0,0,0,0,1.96,0,0,246.93,0,1.96,0,0,0,13.72,0,1.96,0,0,0
