stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,5.26,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,2.42,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,1.15,0,0,0,0.57,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,1.96,0,0,0.98,0.98,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,5.89,0,0,3.93,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,0,3.19,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,7.65,1.09,0,10.93,0,0,0,0,1.09,0,1.09,1.09,1.09
108-118,0,0,0.77,0,1.53,0,0,8.43,1.53,0,0,0,0,0,3.06,0,0
120,0,0,0,0,1.96,0,1.96,11.76,0,0,0,0,0,0,0,0,0
