stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,643.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,23.66,0,0,47.32,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,404.82,10.51,0,0,102.52,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,18.88,0,28.32,0,3.15,34.62,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,349.31,22.03,0,0,147.91,3.15,9.44,0,15.73,3.15,6.29,0,0,0,0,0
 14-21,0,0,1,0,9,8,4,0,0,0,3,0,0,0,0,1,0,0,6,0,0,2,48,1,0,1,1,1,0,11,2,8,17,0,0,2,0,0
 24-34,0,0,0,0,4.1,0.82,12.31,0,0.82,0,1.64,0,0,0.82,0,2.46,0,0,8.21,0,0,5.75,68.13,1.64,0.82,1.64,0,3.28,0,0,0.82,0,21.34,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,0.81,20.95,0,0,0.81,4.83,0,0,0.81,0,0,1.61,0,4.03,0,0,0.81,25.78,0,0,1.61,0,1.61,0,0,0,0,8.86,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,1.72,25.82,0,0,0.57,6.31,0,0,0,0,0.57,0.57,0,12.05,0,0,2.3,29.26,0,0,0,0,0,0,0,0,0,5.16,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,23.56,0.98,0,0.98,9.82,1.96,0,0,0.98,0,0,0.98,15.7,0,0.98,0,23.56,0,0,0,0,0.98,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,19.63,0,0,0.98,17.67,0,0,0,0,0,0,0,26.5,0,0.98,1.96,37.3,0.98,0,0.98,0,0.98,0,0,0.98,0,3.93,0,1.96,1.96,0,0
 84-94,0,0,0,0,2.12,2.12,19.12,0,1.06,1.06,6.37,2.12,0,2.12,0,1.06,0,0,21.24,0,1.06,1.06,11.68,0,1.06,1.06,0,3.19,0,0,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,0,0,0,4.37,0,10.93,0,1.09,0,4.37,0,0,1.09,1.09,1.09,0,0,7.65,0,1.09,1.09,14.21,0,1.09,1.09,0,1.09,0,0,0,0,1.09,0,0,2.19,0,1.09
108-118,0,0,0,0,3.06,2.3,6.13,0,0,0,7.66,1.53,0,0,0.77,0.77,0.77,0.77,9.19,0.77,0,2.3,19.92,0,0,0.77,0,2.3,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,0,3.92,3.92,5.88,0,0,0,9.8,0,0,0,1.96,0,0,0,9.8,0,0,1.96,15.68,0,1.96,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,0
