stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0
 24-34,0,0,0.82,0,4.93,0,4.93,0,0,0,0,0,0.82,0,0,0,0,0,8.21,0,0,1.64,236.41,0.82,8.21,0.82,0,0,0.82,0,0,0,0.82,87.01,0,0,0,0,0
 36-46,0,0,1.61,0,1.61,0,3.22,0,0,4.83,0,0,0,0,0,0,0,0,4.03,0,0,0.81,518.05,0.81,3.22,0,0,0,0.81,0,0,0,0,103.13,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,26.4,0,0.57,10.9,0,1.15,0,0,0,0,0.57,0.57,7.46,0,0,0.57,615.69,0.57,2.87,1.15,0,0,1.15,0,0,0.57,0,87.22,0,0.57,1.15,0,1.15
 60-70,0,0,0,0,0,0.98,81.47,0.98,1.96,16.69,0.98,0,0,0,0.98,0,0,0,26.5,0.98,0,0.98,1084.58,0,0.98,0.98,0,0,0,0,0,0,0,71.65,0,2.94,0,0,1.96
 72-82,0,0,0.98,0,8.83,0.98,177.68,0,2.94,38.28,0.98,0,0,0,0.98,0,0,0.98,35.34,0,3.93,0.98,1144.62,0,2.94,12.76,0,1.96,1.96,0,0,0,0,52.03,0.98,2.94,0.98,2.94,0
 84-94,0,0,2.12,0,10.62,0,152.93,0,2.12,31.86,0,0,0,1.06,3.19,0,1.06,0,31.86,1.06,1.06,0,623.42,0,1.06,4.25,0,0,2.12,0,0,0,0,26.55,0,3.19,0,0,1.06
 96-106,0,0,5.46,0,4.37,1.09,173.76,0,1.09,18.58,0,0,1.09,0,1.09,1.09,1.09,0,24.04,0,0,1.09,527.84,2.19,5.46,12.02,0,0,1.09,0,1.09,0,0,15.3,0,5.46,0,4.37,1.09
108-118,0,0,1.53,0,4.6,1.53,170.81,0,0.77,16.85,0,0,0.77,0.77,0,0,0.77,0,19.92,0,0.77,0.77,631.92,0,4.6,9.19,0,0,1.53,0,0,0,0,19.15,0.77,1.53,0.77,1.53,0
120,0,0,0,0,7.84,5.88,123.47,0,1.96,17.64,0,1.96,1.96,0,0,0,1.96,0,9.8,0,0,1.96,678.09,0,1.96,7.84,0,0,0,0,0,0,0,19.6,0,1.96,1.96,1.96,0
