stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,349.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,2.63,7.89,0,5.26,0,0,0,0,0,0,0,0,205.04,5.26,44.69,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,3.15,0,0,0,0,0,0,97.56,3.15,28.32,0,0,0,0
 14-21,0,0,0,3,2,1,0,0,0,0,2,0,1,16,1,1,0,4,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,1.64,0,0.82,18.06,0,0,0,1.64,0,0
 36-46,0,0,0,0,8.86,0,0,0,0,0,1.61,0,1.61,68.48,0,0,0,6.45,0,0
 48-58,0,0,0,0,8.61,1.72,0,0,0,0,2.3,1.15,0,41.31,0,0,0,4.02,0.57,0.57
 60-70,0,0,0,0,14.72,0.98,0,0,0.98,0,0.98,0,0,32.39,0,0,0,1.96,0.98,0
 72-82,0,0,0,0,6.87,0.98,0,0,0,0,0,0,0,21.6,0,0,0,0.98,0,0
 84-94,0,0,0,0,4.25,0,0,0,0,0,4.25,0,1.06,9.56,0,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,1.09,0,0,0,0,1.09,0,0,10.93,0,0,0,0,0,0
108-118,0,0,0,0,0.77,1.53,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0
