stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,lateral.line,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,52.71,817.03,0,0,0,0,0,0,0,0,39.53,0,0,0
  5-6,67.43,490.37,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,5.26,5.26,0,0,2.63,0,57.83,0,18.4,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,12.59,3.15,6.29,0,6.29,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96
