stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,79.07,1462.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0
  5-6,49.04,692.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,23.66,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,6.29,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,28,0,0,0
 24-34,0,0,1.64,0,0,0,7.39,0,0,1.64,0,2.46,0,0,11.49,0,0,0,6.57,1.64,0.82,0,0,140.37,0,13.95,4.93,0,0.82,0,0,59.92,0,0,0
 36-46,0,0,0,0,0.81,0,14.5,0,0,0,0,10.47,0,0,4.03,1.61,0,0,15.31,1.61,1.61,0,0.81,206.25,0.81,13.7,2.42,0,0.81,0,0,49.15,0,1.61,0
 48-58,0,0,0.57,0,0,0,36.15,0,0,2.87,0.57,13.2,0,1.15,1.15,4.02,0,0,25.25,1.72,5.16,0,0.57,246.74,0,9.18,4.02,0,1.15,0,0,27.54,0,0,0
 60-70,0,0,0,0,0.98,0,90.3,0,0,4.91,0,3.93,0,0,3.93,16.69,0,0,5.89,4.91,3.93,0,0.98,331.75,0,5.89,5.89,0,0,0,0,37.3,0,0,0
 72-82,0,0,7.85,0,4.91,0.98,184.55,0,0.98,14.72,0.98,5.89,0,0,3.93,7.85,3.93,0,5.89,10.8,5.89,0.98,0,357.32,0,15.71,13.74,0,0,0,0,23.56,2.94,0.98,0.98
 84-94,0,0,4.25,0,7.43,0,100.89,1.06,1.06,12.74,4.25,7.43,0,2.12,9.56,24.43,1.06,0,9.56,5.31,5.31,0,0,157.18,0,6.37,21.24,0,1.06,0,0,13.81,1.06,1.06,0
 96-106,0,0,4.37,0,5.46,0,100.54,1.09,0,6.56,10.93,2.19,1.09,1.09,2.19,12.02,6.56,2.19,4.37,8.74,9.84,0,0,157.37,0,16.39,26.23,0,3.28,0,0,5.46,4.37,1.09,3.28
108-118,0,0,2.3,0,3.06,0,59.75,0.77,0,9.19,13.02,0,0,3.06,10.72,21.45,2.3,0,6.89,4.6,3.83,0,1.53,153.96,0.77,10.72,18.38,0,0.77,0,0,7.66,3.83,0,0
120,1.96,0,0,0,11.76,1.96,78.39,0,0,5.88,5.88,0,0,1.96,7.84,9.8,3.92,0,1.96,9.8,5.88,1.96,1.96,170.5,0,13.72,19.6,0,1.96,0,1.96,7.84,0,0,0
