stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,2,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0,1.64,0,3.28,0,0,0.82,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,3.22,0.81,0.81,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0.57,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0.98,0,0.98,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0,1.96,0,0,0,0,5.89,0,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,1.06,0,3.19,0,0,3.19,0,0,0,1.06,0,1.06
 96-106,0,1.09,0,0,0,0,0,0,0,0,3.28,2.19,0,4.37,1.09,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,2.3,0.77,2.3,0,0.77,3.06,0.77,0,0.77,0,0.77,1.53,0,1.53,0,0.77,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,1.96,0,0,5.88,3.92,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0
