stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,18,86,10,0,1,0,16,0,0,16,0,0,0,0,0,15,0,7,9,0,0,4,0,0,0,1,0,2,4,0,0,0,0
 24-34,0,0,0,18.06,12.31,0.82,0,4.1,0,18.06,0,0,4.93,0,0,0,0.82,4.1,41.86,0,15.6,15.6,1.64,0,0.82,0,0,0,0,0.82,2.46,3.28,0,0,0.82,0
 36-46,0,0,0,4.83,4.83,0,0,4.83,0,3.22,0.81,0,1.61,0,0,0,0,2.42,66.87,0,10.47,10.47,0.81,0.81,0,0,0,0,0.81,0,0,4.83,0,0,0,0
 48-58,0,0,0,0.57,3.44,0,0,8.03,0,2.87,1.72,3.44,1.15,0.57,0,0,0,0,70.58,0,8.61,9.75,1.15,0.57,2.3,0,0,0,0,0.57,0,8.61,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,10.8,1.96,0,0,6.87,0,0,0,0,0,1.96,60.85,0.98,3.93,8.83,0,0,1.96,0,0,0,0,0,0,12.76,0,0.98,0,0.98
 72-82,0,0,0,0,4.91,0,0,28.47,1.96,0,0.98,18.65,0,0,1.96,0,0.98,0,89.33,2.94,2.94,16.69,0,0,0.98,0,0,0,0,0,0,1.96,0.98,0.98,0,0
 84-94,0,0,2.12,0,3.19,0,0,23.36,1.06,0,1.06,7.43,0,0,0,0,1.06,0,48.85,3.19,6.37,9.56,0,0,2.12,0,0,0,0,0,0,4.25,1.06,0,0,2.12
 96-106,0,0,0,0,3.28,0,0,26.23,4.37,0,1.09,7.65,0,0,0,0,0,0,40.44,3.28,2.19,8.74,0,0,0,0,1.09,0,1.09,0,0,1.09,0,1.09,0,0
108-118,0,0,0.77,0.77,0,0,2.3,10.72,2.3,0.77,0,10.72,0,0,0,0.77,0,0,36.77,0.77,3.06,12.26,0,0,0.77,0,1.53,0,0,0,0,0,0,0.77,0.77,1.53
120,0,0,1.96,0,0,0,0,15.68,1.96,0,0,15.68,0,0,0,0,0,0,13.72,0,1.96,9.8,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
