stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature
 14-21,0,2,0,1,0,0,0,0,0,0,1,0,0,0,16,0,0,0,2,4,0,0
 24-34,0,0,0,8.21,0,0.82,0,0,0,0,1.64,0,0,4.1,55,0.82,0,3.28,0.82,12.31,0,0
 36-46,0,0,0,4.83,0,1.61,0,0,0,0,4.83,0,0,1.61,20.95,0,0,0.81,0,4.03,0,0
 48-58,0.57,0,0,11.48,0,2.3,0,0,0,0,8.03,0,0,1.72,20.66,0.57,2.3,0,0,5.74,0,0.57
 60-70,0,0,0,6.87,0,4.91,0,0,0,0,0,0,0,0,15.7,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,7.85,0,1.96,0,0.98,0.98,0,4.91,0,0.98,0,15.71,0,0,0,0,0,0,0.98
 84-94,0,0,0,6.37,0,2.12,0,0,0,0,2.12,0,0,2.12,3.19,0,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,0,5.46,0,1.09,0,0,1.09,0,0,0,2.19,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0.77,0.77,0.77,0,0,0.77,1.53,0.77,0,0,6.89,0,0,0,0,0,0,1.53
120,0,0,0,0,0,3.92,0,0,0,0,1.96,1.96,0,0,1.96,0,0,1.96,0,0,0,0
