stage,blastomeres,epidermis,eye,glial,heart,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,15.77,2.63,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0
 14-21,0,1,1,0,0,0,3,1,12,1,0,0,1,6,0,0
 24-34,0,0,1.64,0,0,0,1.64,0,10.67,0,0,0,0,1.64,0,0
 36-46,0,0,2.42,0,0,0,1.61,0.81,12.09,0,0,0,0.81,2.42,0,0
 48-58,0,0,3.44,0.57,0,0,1.72,0,4.59,0,0,0,0,1.15,0,0
 60-70,0,0,0.98,0,0,0,1.96,0,4.91,0,0,0,0,0,0,0
 72-82,0,0,3.93,0,0,0,1.96,0,3.93,0,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0,0,0.77,4.6,0,0,0,0.77,0,0.77,0
