stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,18,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,105,57,0,15,0,2,0,0,0,1,62,0,0,1,0,0
 24-34,0.82,0,9.85,1.64,0,23.8,0,0,0,0,0.82,0,0,0,0.82,0.82,0,0.82,1.64,9.85,0,0,3.28,856.97,20.52,9.03,27.91,0,4.1,0,4.1,0,0.82,186.33,0,0,19.7,0,1.64
 36-46,0,0,4.83,0.81,0,87.01,0.81,1.61,0.81,6.45,0,0,0,0.81,0,0,0,0,5.64,14.5,0,0,5.64,2536.25,14.5,22.56,10.47,0,3.22,0,3.22,0.81,0,410.09,0,0,8.06,0,3.22
 48-58,0,0,12.05,1.15,0,392.48,0.57,2.3,0.57,48.77,0.57,0.57,1.15,0.57,0.57,2.87,1.15,1.15,2.87,44.76,0,1.72,5.16,3683.25,6.89,9.75,14.35,0,4.59,0,1.72,0,0,516.42,0,0.57,5.74,0,3.44
 60-70,0,0,13.74,0,0,812.7,0.98,0.98,0.98,83.43,4.91,0.98,0,2.94,0.98,1.96,1.96,1.96,0.98,41.22,0.98,2.94,4.91,5061.71,7.85,16.69,25.52,0.98,6.87,0,1.96,1.96,0,520.21,0,0,4.91,0,5.89
 72-82,6.87,0,14.72,3.93,0,876.62,0,3.93,0.98,206.15,24.54,1.96,0,3.93,0.98,6.87,1.96,0.98,0,73.62,0,0.98,8.83,3650.8,3.93,7.85,37.3,2.94,6.87,0.98,0,0,0,298.43,0,2.94,3.93,0.98,6.87
 84-94,7.43,0,41.42,1.06,1.06,593.68,0,1.06,1.06,169.93,48.85,0,1.06,1.06,1.06,1.06,1.06,1.06,1.06,64.78,0,5.31,3.19,1868.12,9.56,6.37,50.98,2.12,9.56,0,2.12,1.06,0,181.61,2.12,1.06,7.43,2.12,2.12
 96-106,7.65,0,18.58,10.93,0,410.91,1.09,3.28,2.19,220.76,54.64,0,0,2.19,0,2.19,1.09,3.28,0,51.36,0,2.19,5.46,1375.89,2.19,10.93,51.36,3.28,9.84,0,5.46,0,0,67.76,0,2.19,2.19,5.46,3.28
108-118,4.6,0,22.98,3.06,0,318.64,0.77,2.3,3.06,183.83,50.55,0,0,3.06,1.53,3.06,6.13,0.77,1.53,29.11,0,4.6,3.83,1535.76,1.53,5.36,48.26,5.36,4.6,0.77,1.53,1.53,0,56.68,3.06,0.77,4.6,1.53,0.77
120,3.92,0,35.28,3.92,3.92,391.96,0,1.96,0,219.5,82.31,0,1.96,5.88,1.96,3.92,1.96,0,0,52.91,1.96,3.92,5.88,1991.14,1.96,7.84,33.32,0,13.72,0,3.92,1.96,0,78.39,0,1.96,9.8,0,0
