stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0
 14-21,0,0,10,10,9,1,1,5,0,1,0,13,4,5,0,2,4,1,0,0,0,1,0,2,0,0,0,3
 24-34,0,0.82,2.46,0,3.28,0,0,0,0,0,4.93,12.31,9.03,6.57,0,4.93,10.67,2.46,0,0,0,2.46,0,12.31,0,2.46,0,1.64
 36-46,0,0,0.81,0,2.42,4.03,0,0.81,0.81,0,16.92,0,3.22,4.03,0,0,11.28,0.81,1.61,0,0,0.81,0,7.25,0,0,0,3.22
 48-58,0,0,0,0,1.72,4.59,0,0.57,0,0,28.12,0,0.57,3.44,0,0,5.16,0,0.57,0,0,0.57,0,2.3,0,1.15,0,3.44
 60-70,0,0,1.96,0,0,36.32,0,0,0,0,63.8,1.96,0.98,5.89,0.98,0,5.89,0.98,2.94,0.98,0,0.98,0,5.89,0,0,0,0.98
 72-82,0,0,0,0.98,5.89,70.68,0,0,0,0,52.03,0.98,0,3.93,0,0,4.91,0,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,7.43,43.54,0,0,0,0,59.47,2.12,0,0,0,0,0,0,0,0,0,1.06,0,4.25,0,2.12,1.06,2.12
 96-106,0,0,2.19,0,4.37,59.01,0,0,1.09,0,42.62,7.65,1.09,2.19,0,1.09,9.84,0,3.28,0,0,4.37,1.09,2.19,0,0,0,1.09
108-118,0,0,0,0,4.6,57.45,4.6,0,0,0.77,58.98,25.28,0,0,0,0,6.89,0,0,0,0,0,0.77,0.77,0,0,0.77,0.77
120,0,0,0,1.96,9.8,35.28,7.84,0,0,0,27.44,21.56,0,1.96,0,0,9.8,0,1.96,0,0,0,1.96,3.92,1.96,0,0,1.96
