stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,2,0,0,1,0,0,0,0,0,1,0,2,9,1,0,1,0,0,0,2,0,2,6,0,0
 24-34,0,0.82,0,0.82,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0.82,4.93,0,0,0,0,0,0,0,0,0,5.75,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0.81,3.22,0.81,0.81,20.14,0,0,0,0,0,0,0,0,0,4.83,0,0.81
 48-58,0,0,0,0.57,0,1.15,0,0,0,0,0,0,0,0,0.57,0,1.15,9.18,0.57,0.57,0,0,0,0.57,0,0,0,1.72,0,0
 60-70,0,0,0,1.96,0,4.91,1.96,0,1.96,0.98,0,0,0,0,1.96,0,0.98,7.85,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,1.96,0,4.91,0.98,0,2.94,0,0,0,0.98,0,0.98,0,0.98,11.78,0,0,0.98,0,0,1.96,0,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,4.25,3.19,0,2.12,0,0,0,0,0,2.12,0,0,2.12,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,2.19,2.19,0,2.19,0,0,0,1.09,0,1.09,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,3.06,1.53,0.77,0.77,0,0,0.77,0,0.77,0.77,0.77,2.3,7.66,0,0,0,0,0.77,0.77,0,0.77,0,0.77,0.77,0
120,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,11.76,0,0,1.96,0,0,0,0,0,0,0,0,0
