stage,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,2,0,0,0,0,1,0,0,17,1,0,0,0,4,2,0,1,5,0
 24-34,0,0,2.46,0,0.82,0,0,0,0,1.64,0,1.64,7.39,0,0.82,0,0,0,0,0,0,0.82,0
 36-46,0,0,3.22,0,1.61,0,0,0,0,2.42,0,2.42,13.7,0.81,0.81,0,0,0,0,0.81,0,6.45,0.81
 48-58,0,1.15,3.44,0,3.44,0,0,0,0.57,1.15,0,0,10.33,0,0,0,0,0,0,0,0,1.72,0.57
 60-70,0,0.98,5.89,0,3.93,0,0,0,0,0.98,0,0.98,9.82,0,0,0,1.96,0,0,0,0,0.98,0
 72-82,0,0,8.83,0,1.96,0,0,0,0,0,0,0.98,11.78,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,1.06,0,3.19,1.06,3.19,0,1.06,0,0,4.25,0,1.06,1.06,0,0,0,2.12,0,0,0,0,3.19,0
 96-106,0,0,2.19,0,3.28,0,1.09,0,0,2.19,0,0,5.46,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0,0,0.77,0.77,2.3,0.77,1.53,4.6,0,0,0,0.77,0,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0
