stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,2,0,1,0,0,0,1,79,0,1,0,0,0,1,34,0,0,0,0,0
 24-34,0.82,0,0.82,0,0,16.42,0,5.75,0,0.82,0,4.93,600.05,0,9.03,0,1.64,0,0,213.42,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,23.36,0,4.83,0,4.83,0,0.81,213.5,0,0,0,0.81,0,0,167.58,0,0,0,0,0
 48-58,0,0,0,0,0,4.02,0,2.3,0,4.02,0.57,1.72,21.8,0.57,0,0,0,0.57,0,34.43,0,0,0,0,0
 60-70,0,0,0.98,0,0,2.94,0,0.98,0,1.96,0,0,7.85,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,2.94,0,5.89,0,3.93,0,0,8.83,0,0.98,0,0.98,0,0,0.98,0.98,0,0.98,0.98,0
 84-94,1.06,0,4.25,0,0,1.06,0,2.12,1.06,1.06,0,0,6.37,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,5.46,0,0,2.19,0,12.02,0,5.46,0,0,3.28,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,7.66,0,0,0,0.77,3.06,0.77,0.77,0,0,3.83,0,0,0,0,0,0,0.77,0,0.77,0,0.77,0.77
120,0,0,11.76,0,0,0,0,1.96,0,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0,0,0,0
