stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,1,1,0,0,0,0,2,0,2,5,0,0,0,0,0,0,0,5,0,1
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0,2.46,0,0,0,0,0,1.64,0.82,3.28,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0.81,17.72,3.22,0,0,0,0.81,0,0,2.42,0.81,0
 48-58,0,0,0,1.72,0,1.15,0,0,0,0,0,10.33,0,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,3.93,0,0,0,0,2.94,0,0,10.8,0,0,0,0,0,0,0,3.93,0,0.98
 72-82,0,1.96,0,4.91,0.98,1.96,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,6.37,0,1.06,0,0,1.06,0,0,2.12,2.12,0,1.06,0,0,0,0,2.12,0,0
 96-106,0,0,0,6.56,0,1.09,0,0,2.19,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,1.53,0,0,0,0.77,1.53,0,0,2.3,0.77,1.53,0,0,0,0,0,0.77,0.77,0.77
120,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
