stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,73.6,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,247.1,2.63,0,0,55.2,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,15.73,0,6.29,0,191.97,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1010.18,9.44,0,0,129.03,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,1,0,0,3,41,11,0,184,0,0,0,51,10,0,3,0,0,0,0,1,2,71,0,0,17,1505,12,0,2,14,0,0,0,29,3,2,12,604,0,1,0,0
 24-34,0,0,0,5.75,41.04,1.64,0,389.09,0,0,9.03,85.37,0,0.82,15.6,0.82,0,0.82,0.82,2.46,13.13,178.95,0,2.46,61.56,2397.72,4.1,1.64,14.78,0.82,0.82,4.93,0,0,0,0.82,30.37,774.89,0,22.16,0,2.46
 36-46,0,0,0,0,10.47,1.61,0,468.9,0.81,0.81,6.45,170,0,0,17.72,0.81,0.81,1.61,0.81,0.81,3.22,217.53,0.81,10.47,41.09,1572.67,1.61,1.61,7.25,0,1.61,1.61,0,0,0.81,1.61,0,597,2.42,5.64,0,0
 48-58,0,0.57,0,0,10.33,0.57,0,530.2,0.57,1.15,8.03,300.1,0,0,20.66,0,0,4.59,1.72,0,5.16,291.49,0,9.18,39.02,580.12,0,0.57,5.74,0,3.44,2.87,0,0,0,1.15,0,432.08,3.44,5.16,0,0
 60-70,0,0,0,0,4.91,0,0,421.07,1.96,0,7.85,367.09,0,0.98,22.58,0.98,0,5.89,0.98,0,5.89,312.12,0,7.85,19.63,197.29,0.98,0.98,0.98,0,1.96,1.96,0,0,0,1.96,0,169.8,7.85,8.83,2.94,0.98
 72-82,0,0,0,0,5.89,2.94,0,238.54,0,0,21.6,475.12,0,0,39.27,0,0,2.94,0,0.98,4.91,286.65,0,10.8,24.54,180.63,0,0.98,8.83,0,5.89,0.98,0,0,0,0.98,0,44.17,9.82,15.71,2.94,0
 84-94,0,0,0,0,5.31,0,0,275.07,0,3.19,7.43,246.39,1.06,0,26.55,0,0,11.68,1.06,0,9.56,179.48,0,10.62,11.68,106.2,0,1.06,3.19,0,1.06,0,1.06,0,0,0,0,43.54,3.19,6.37,3.19,0
 96-106,0,0,0,0,8.74,0,1.09,216.38,0,2.19,5.46,290.7,4.37,0,45.9,1.09,1.09,3.28,0,7.65,5.46,138.79,0,13.11,12.02,99.45,0,2.19,7.65,0,5.46,4.37,0,0,1.09,1.09,0,27.32,1.09,18.58,2.19,0
108-118,0,0,0,0,9.96,0.77,0,180,0.77,3.06,6.89,232.85,0.77,0,26.04,1.53,0.77,13.02,0,0.77,6.89,111.06,0,8.43,4.6,91.92,0,0.77,5.36,0,2.3,1.53,0,0,0,0.77,0,16.85,0,9.19,2.3,3.06
120,0,0,1.96,0,11.76,1.96,0,103.87,0,0,1.96,243.01,0,0,29.4,1.96,0,1.96,0,1.96,5.88,70.55,0,7.84,5.88,90.15,0,0,9.8,0,0,0,0,0,0,0,0,19.6,3.92,5.88,3.92,0
