stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,25,0,0,0,0,0,4,1,2,0,0,3,14,0,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,0,2.46,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,2.46,0.82,4.1,29.55,1.64,4.93,4.1,0,0,22.16,0,0,1.64,0,0,9.85,0,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,0,8.86,0,1.61,0.81,3.22,1.61,0,0.81,0,0,0,0,0,0,6.45,0.81,2.42,33.03,0.81,4.83,1.61,0,0,12.09,0.81,0,0,0,0,6.45,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0,0,17.21,0,1.72,0,9.18,0,0,0,1.15,2.3,0,1.15,0,0,4.02,0,1.15,29.26,0.57,3.44,2.87,0,0,17.21,0,0,0,0,0,7.46,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,0,0,29.45,0,4.91,0,10.8,0.98,0.98,0.98,0.98,0,0,2.94,0,0,14.72,0.98,2.94,37.3,0.98,5.89,2.94,0,0,16.69,0,0,0.98,0,0,9.82,0,0,0,0,0
 72-82,0,0,0,0,9.82,1.96,0.98,53.99,0,0,1.96,26.5,0.98,0,0,2.94,2.94,0,2.94,0.98,0.98,19.63,2.94,0.98,39.27,0,15.71,9.82,0,0,17.67,0,0,0,0,0,3.93,0.98,0,2.94,0,0.98
 84-94,0,0,0,0,15.93,0,0,36.11,0,2.12,2.12,16.99,3.19,0,0,1.06,4.25,1.06,3.19,1.06,0,10.62,3.19,0,24.43,1.06,5.31,18.05,0,0,44.61,0,0,0,0,0,3.19,1.06,0,1.06,0,0
 96-106,0,0,0,0,17.49,0,0,39.34,0,1.09,2.19,17.49,7.65,0,1.09,2.19,4.37,0,14.21,1.09,0,18.58,4.37,2.19,28.41,1.09,14.21,26.23,0,0,59.01,1.09,0,0,0,0,2.19,4.37,1.09,1.09,2.19,0
108-118,0,0,0,0.77,26.04,0,1.53,23.74,0.77,3.06,0.77,16.85,2.3,0,0.77,1.53,0.77,0,12.26,3.06,2.3,15.32,1.53,3.06,39.06,0,9.96,9.96,0,0.77,40.6,0,0,0.77,0.77,0,1.53,3.06,2.3,0,2.3,1.53
120,0,0,0,0,23.52,1.96,0,27.44,1.96,1.96,1.96,15.68,1.96,1.96,0,1.96,1.96,0,7.84,0,0,9.8,0,1.96,35.28,0,11.76,19.6,0,0,31.36,0,0,0,1.96,0,0,0,0,9.8,0,0
