stage,blastomeres,epidermis,eye,glial,liver,mesenchyme,muscle,neural,otic,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0.82,0,0,0
 36-46,0,0,4.83,0,0,0,0,2.42,0,0.81
 48-58,0,0,8.61,0,0,0,0,2.87,0,1.15
 60-70,0,0,67.73,0,0,0,0,9.82,0,1.96
 72-82,0,0,40.25,0.98,0,0,0,10.8,0.98,2.94
 84-94,0,1.06,40.36,0,0,0,1.06,9.56,0,1.06
 96-106,0,0,21.86,0,0,1.09,0,4.37,0,1.09
108-118,0,0,18.38,1.53,0,0,0,9.96,0,0.77
120,0,0,11.76,1.96,0,0,0,7.84,0,1.96
