stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,1,0,1,28,0,0,0,0,0,0,9,0,3,11,0,0,0,0
 24-34,0,0,0,0.82,0.82,4.93,0,0,0,0,0,0,0,0,0,6.57,0,0,41.04,0,0,0,0,0,3.28,0,0,0.82,6.57,0,0.82,0,0
 36-46,0,0,0,0.81,0,8.06,0,0,0,0,0,0,0.81,0,0,7.25,0,0,27.39,0,0.81,0,0,0,0,0,0,0,7.25,0,0.81,0,0
 48-58,0,0,0,0,0,9.75,0,0,0,1.15,0,0,0,0,0,1.15,0.57,0.57,25.25,0,0,0,0,0,0,0,0,0,7.46,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,16.69,0,0,0,2.94,0,0.98,0,0,0,10.8,0,0,30.43,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,11.78,0.98,0,0,3.93,0.98,0,0,0,0,5.89,0.98,0.98,29.45,0,0,0,0,0.98,0,0,0,0,2.94,1.96,0.98,0,0
 84-94,0,0,0,1.06,1.06,3.19,0,0,0,1.06,1.06,0,0,0,0,5.31,1.06,1.06,9.56,0,0,1.06,0,0,1.06,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,6.56,0,0,0,1.09,0,0,1.09,0,0,2.19,0,1.09,15.3,0,0,0,0,0,3.28,0,0,0,2.19,0,1.09,1.09,1.09
108-118,0,0,0,0.77,0,8.43,0,0.77,0.77,2.3,0,0,0,0,0,2.3,0.77,1.53,16.85,0,1.53,0,0,1.53,2.3,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,1.96,1.96,5.88,0,3.92,19.6,0,0,0,0,0,1.96,0,1.96,0,0,0,5.88,0,0
