stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,0,46,207,2,0,0,0,0,1
 24-34,0,0,0,0,2.46,0,0,2.46,6.57,0,0.82,0.82,0,0,0,0,18.06,0.82,0,0,0,11.49,0,0,16.42,26.27,0.82,0,0,0,0,1.64,0,0,62.39,158.43,5.75,0,0,1.64,0,9.03
 36-46,0,0,0,0,0,0,0,4.03,4.03,0,3.22,6.45,0,0,0,0,10.47,7.25,0,0.81,0,67.68,0.81,0,27.39,41.09,0.81,0,0.81,0,0,1.61,0,0,37.87,12.89,6.45,0,0,0,0,2.42
 48-58,0.57,0,0,0,1.72,0,0,12.62,0,0,9.18,56.23,0,0.57,0,0.57,5.16,15.49,0,0,0,277.72,1.15,2.87,29.26,76.89,0,0,0,0,0,1.15,0,0,10.33,0,15.49,0,0,1.15,0,2.3
 60-70,0,0,0,0,9.82,0,0,34.35,1.96,0,9.82,59.87,0,0,0,1.96,7.85,16.69,0.98,0.98,0,491.74,0,2.94,46.13,77.54,0,0,0,0,0.98,0,0,0,3.93,0,12.76,0,0.98,1.96,1.96,0
 72-82,0,0,2.94,0,11.78,0.98,0,75.59,1.96,0.98,30.43,82.46,0.98,0,0.98,0,13.74,12.76,0,0.98,0,823.61,0.98,1.96,71.66,116.82,0,0,0.98,0,1.96,0,0,0.98,2.94,0,9.82,1.96,3.93,1.96,4.91,0
 84-94,0,0,0,0,16.99,1.06,0,96.65,1.06,1.06,12.74,59.47,0,0,0,0,26.55,16.99,1.06,0,0,533.14,1.06,4.25,35.05,71.16,0,0,0,0,0,0,0,0,0,0,4.25,1.06,4.25,1.06,1.06,0
 96-106,0,0,1.09,0,20.76,2.19,1.09,106.01,1.09,4.37,17.49,96.17,2.19,0,5.46,1.09,36.06,17.49,0,2.19,1.09,784.66,1.09,4.37,50.27,123.49,0,1.09,2.19,0,3.28,7.65,0,2.19,1.09,0,3.28,1.09,4.37,1.09,4.37,0
108-118,0,0,0,0,9.96,3.06,0.77,49.79,0,0.77,14.55,66.64,0.77,0,0.77,2.3,39.06,25.28,0,0,0,818.81,1.53,2.3,44.43,94.98,0.77,0,0.77,0,0.77,3.83,0,0,1.53,0,1.53,0.77,4.6,0.77,3.06,0.77
120,0,0,0,0,3.92,1.96,1.96,41.16,1.96,3.92,17.64,45.08,0,0,1.96,1.96,13.72,7.84,0,1.96,0,595.77,0,7.84,23.52,78.39,0,1.96,0,0,0,3.92,0,0,5.88,0,0,1.96,3.92,1.96,1.96,1.96
