stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0
 24-34,0,0,0,12.31,1.64,0,175.66,0,0.82,0.82,70.59,1.64,0,2.46,0,0.82,0.82,0,0,1.64,22.98,1.64,1.64,7.39,4009.88,2.46,2.46,4.93,0,19.7,0,0,0.82,1.64,5.75,485.13,0,0,3.28,0,0.82
 36-46,0,0.81,0,16.92,2.42,0,1491.29,3.22,3.22,1.61,569.61,0,0,3.22,4.03,1.61,2.42,0.81,1.61,6.45,71.7,0,1.61,24.17,9242.64,8.06,7.25,8.06,0.81,30.62,0,1.61,2.42,0.81,0,1861.9,0,0,12.09,0,8.86
 48-58,0,0.57,0.57,44.18,1.72,0,2530.48,6.31,9.18,6.89,1101.71,0.57,0.57,2.87,6.89,4.02,4.59,2.87,4.02,7.46,134.27,2.3,5.16,30.99,6999.85,4.59,4.59,10.33,0.57,22.38,0.57,0,1.72,1.72,0,1979.63,0,2.3,17.21,0,16.07
 60-70,0,0.98,0,18.65,1.96,0,2003.29,0.98,1.96,1.96,895.15,0,0,0.98,2.94,0.98,3.93,0.98,0,2.94,74.6,0,7.85,6.87,4572.91,1.96,2.94,5.89,0.98,12.76,0,0,3.93,0.98,0,877.48,0.98,0.98,2.94,0.98,8.83
 72-82,0,0.98,0,36.32,2.94,0.98,1214.32,1.96,1.96,6.87,869.75,0.98,0,1.96,7.85,0.98,1.96,2.94,4.91,0.98,68.72,0,2.94,8.83,3217.89,0,5.89,5.89,3.93,9.82,0,0,0,0,0,330.82,1.96,2.94,4.91,1.96,6.87
 84-94,0,0,0,55.23,6.37,2.12,1003.63,1.06,2.12,4.25,614.92,3.19,0,2.12,4.25,2.12,7.43,0,2.12,2.12,63.72,1.06,6.37,4.25,1867.06,3.19,1.06,6.37,7.43,11.68,0,0,2.12,1.06,0,268.7,0,3.19,2.12,2.12,3.19
 96-106,1.09,1.09,0,73.22,6.56,1.09,813.08,2.19,5.46,4.37,591.23,6.56,0,2.19,2.19,3.28,4.37,0,5.46,0,59.01,0,4.37,8.74,1587.91,3.28,3.28,3.28,2.19,16.39,0,0,0,0,0,101.63,3.28,3.28,3.28,3.28,1.09
108-118,0,0.77,0,20.68,0.77,1.53,603.58,0.77,1.53,0.77,545.37,3.06,0,0,5.36,0,20.68,0,2.3,0,36,0.77,2.3,4.6,2152.36,0.77,3.83,6.13,3.83,9.19,0,0,0,0,0,62.04,0,1.53,1.53,0.77,1.53
120,0,0,0,37.24,1.96,1.96,619.29,0,7.84,1.96,509.54,0,0,1.96,1.96,0,3.92,5.88,1.96,0,58.79,1.96,3.92,9.8,1871.6,1.96,5.88,5.88,1.96,3.92,0,0,0,0,0,48.99,0,0,5.88,1.96,0
