stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,5.75,0,0,0.82,0,1.64,0,0,0,0,0,0.82,0,1.64,0,0,3.28,1.64,0,2.46,15.6,0,0,0,0,0.82,0,0,4.93,0,0,0,0
 36-46,0,0,0,4.03,0,0,3.22,0,0,4.83,0,0,0,0,0.81,0,0,0,0,7.25,0,0,0.81,20.95,0,1.61,0,0,1.61,0.81,0.81,5.64,0,0,0,0
 48-58,0,0,0,2.3,0,0,4.59,0,0.57,5.16,0,0,0.57,0.57,0.57,0.57,0,0,0.57,10.33,0,0,1.72,9.75,0,0,0.57,0,2.3,0,0,4.02,0,0.57,0,0
 60-70,0,0,0,4.91,0,0,4.91,0.98,0,4.91,0,0,0,0.98,0,0,0,0,0,18.65,0,0,1.96,7.85,0,0,0,0,0.98,0,0,3.93,0.98,0,0,0
 72-82,0,0,0.98,0.98,0,0,0.98,2.94,0,7.85,0,0,0,1.96,0,0,0,0,0,23.56,2.94,0.98,1.96,7.85,0,1.96,1.96,0,3.93,0,0,0.98,0,0,0,0
 84-94,0,0,0,11.68,0,0,9.56,3.19,0,5.31,1.06,0,0,0,3.19,0,1.06,0,0,10.62,1.06,1.06,1.06,6.37,0,0,1.06,0,11.68,0,0,0,0,2.12,1.06,1.06
 96-106,0,0,0,10.93,0,0,0,5.46,0,10.93,3.28,0,0,1.09,4.37,1.09,2.19,1.09,0,14.21,2.19,0,0,7.65,0,1.09,1.09,0,14.21,0,0,1.09,1.09,1.09,0,0
108-118,0,0,0,6.89,0.77,1.53,2.3,1.53,0,3.83,0,0,0,1.53,0,0.77,0.77,0,0,13.02,1.53,0,1.53,2.3,0,0.77,0.77,0.77,4.6,0,0,0,0.77,0.77,0,0
120,0,0,0,7.84,1.96,0,0,3.92,0,0,0,0,1.96,3.92,0,0,0,0,0,13.72,1.96,0,0,3.92,0,3.92,0,0,9.8,0,0,1.96,0,1.96,0,0
