stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,15.77,5.26,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,12.59,0,6.29,3.15,3.15,0
 14-21,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
