stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,15.77,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,63.09,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,28.32,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,9.44,0,0,66.09,0,0,3.15,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,6,34,54,0,3,0,0,0,2,5,1,4,1,1,0,0,0,0,10,0,0,8,56,12,0,1,2,0,6,0,10,5,2,28,25,0,20,0,0
 24-34,0,0,0,0.82,3.28,7.39,0,9.03,0,0,0,2.46,0.82,0,13.13,4.1,22.16,0,0.82,0.82,0.82,8.21,2.46,0,4.1,125.59,4.1,1.64,1.64,0,0.82,4.93,0,0,0,0,2.46,32.01,0,200.29,0,0.82
 36-46,0,0,0,0,4.83,1.61,0,6.45,0.81,0,0,24.98,0,0,7.25,2.42,10.47,0,0,0,2.42,8.06,1.61,1.61,4.03,101.51,0.81,0,1.61,0,0,3.22,0,0,0,0,0,33.84,0,181.28,0,0.81
 48-58,0,0,0,0,1.72,1.15,0,13.2,0,0.57,0,35.58,0,0,10.33,1.15,2.87,0,1.15,0,2.87,12.62,2.3,0.57,2.3,74.59,0.57,0.57,2.87,0,0,2.3,0,0,0,0,0,27.54,0,174.44,0,2.87
 60-70,0,0,0,0,1.96,0.98,0,14.72,0,0,0,82.45,2.94,0,15.7,4.91,3.93,0,1.96,0,0,17.67,0,0,0.98,84.41,0,0.98,0.98,0,0.98,5.89,0,0,1.96,0,0,7.85,0,152.14,0,0
 72-82,0,0,4.91,0,2.94,0.98,0,37.3,0.98,0,0,65.77,2.94,0,6.87,5.89,2.94,0.98,0.98,0,1.96,49.08,0.98,1.96,1.96,64.79,1.96,0.98,8.83,0,0,3.93,0,0,0,0,0,4.91,0,264.07,0,1.96
 84-94,0,0,0,0,1.06,1.06,1.06,19.12,0,1.06,1.06,43.54,9.56,2.12,6.37,10.62,1.06,1.06,0,1.06,2.12,30.8,1.06,2.12,1.06,35.05,1.06,0,2.12,0,1.06,2.12,0,0,2.12,0,0,0,2.12,237.9,2.12,2.12
 96-106,0,0,1.09,0,3.28,1.09,2.19,33.88,0,1.09,2.19,32.79,5.46,0,14.21,9.84,2.19,0,3.28,1.09,4.37,34.97,1.09,0,0,28.41,2.19,4.37,7.65,0,0,8.74,0,0,1.09,0,0,1.09,7.65,280.86,1.09,2.19
108-118,0,0,0.77,0,2.3,0.77,3.06,19.15,0,0.77,1.53,20.68,8.43,0,5.36,8.43,2.3,0,1.53,3.06,3.83,16.09,0.77,0.77,1.53,34.47,0.77,0.77,4.6,0,0.77,3.06,0,0,2.3,0,0,0.77,10.72,201.45,0,0
120,0,0,3.92,0,7.84,0,0,9.8,0,0,0,21.56,3.92,0,0,21.56,0,0,0,0,3.92,17.64,0,1.96,0,43.12,0,1.96,5.88,0,0,3.92,0,1.96,0,0,0,5.88,0,207.74,0,0
