stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,20,6,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,11,0,0,7,20,10,0,1,2,0,0,0,8,0,4,9,0,0,2,0
 24-34,0,0,0,1.64,46.79,0,0,1.64,0,0,1.64,0.82,0.82,0,0,0,2.46,0,0,0,0,29.55,0.82,0,13.95,65.67,28.73,1.64,4.93,0,0,2.46,0,0,0,0,25.45,0,0,4.1,0
 36-46,0,0,0,0.81,16.11,0,0,9.67,0,1.61,2.42,3.22,0.81,0,0,0,4.83,0,0.81,0.81,0,31.42,0,0,13.7,178.05,37.06,2.42,1.61,0,0,1.61,0,0,0.81,0,41.89,0,0,3.22,0
 48-58,0,0,0,0,18.36,0,0,16.07,0,2.3,4.59,4.59,0.57,0,0.57,0.57,1.15,0,1.15,0.57,0,85.5,0.57,1.15,6.31,224.93,30.41,0.57,5.16,0,0,1.72,0,0,0.57,0,40.17,0,0,1.72,0
 60-70,0,0,0,0,35.33,0.98,0,52.02,0,1.96,4.91,10.8,2.94,0,0,0.98,0.98,0,9.82,0.98,0.98,249.31,0.98,2.94,13.74,524.13,38.28,2.94,9.82,0,0.98,3.93,0,0,0,0,55.95,0,3.93,1.96,0
 72-82,0,0,1.96,0,55.95,1.96,0,196.33,0,2.94,18.65,33.38,5.89,0,0,0.98,6.87,0,13.74,0,0.98,487.89,0,8.83,22.58,705.81,30.43,1.96,23.56,0,0,1.96,0,0,1.96,0,48.1,0.98,11.78,5.89,6.87
 84-94,1.06,0,3.19,0,107.27,2.12,0,206.04,1.06,13.81,3.19,25.49,30.8,1.06,2.12,6.37,13.81,0,11.68,3.19,0,355.78,3.19,9.56,10.62,405.7,43.54,7.43,32.92,0,0,16.99,0,0,0,0,27.61,1.06,14.87,4.25,9.56
 96-106,0,0,2.19,0,133.33,3.28,0,268.84,2.19,15.3,6.56,50.27,46.99,0,3.28,3.28,12.02,2.19,19.67,2.19,0,349.71,3.28,8.74,13.11,398.89,37.16,7.65,37.16,0,0,18.58,1.09,0,0,0,17.49,1.09,17.49,3.28,20.76
108-118,0,0,0.77,0,144,1.53,0,272.68,0,22.98,6.89,48.26,55.15,0,0.77,3.83,16.85,1.53,19.15,1.53,1.53,301.79,3.83,3.06,15.32,410.56,36,5.36,23.74,0,2.3,6.13,0,0,0.77,0,11.49,6.13,20.68,10.72,4.6
120,0,0,0,0,115.63,3.92,1.96,233.21,0,17.64,1.96,43.12,29.4,0,1.96,3.92,15.68,0,13.72,3.92,0,235.17,5.88,17.64,9.8,442.91,41.16,1.96,19.6,0,1.96,7.84,0,0,0,0,11.76,5.88,13.72,9.8,13.72
