stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,33,0,0,13,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,2,0,1,0,0,0,0
 24-34,0,0.82,0,65.67,0,6.57,68.95,0,0,0,0,0.82,0,0,4.1,1.64,0,17.24,0,3.28,0,43.51,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,27.39,0,11.28,39.48,0,0,0,0.81,0,0,0,1.61,0.81,0,16.11,0.81,2.42,0,53.17,0,0,0,2.42,0,0.81,0,0.81
 48-58,0,0,0,22.95,0,14.92,71.73,0.57,1.72,1.72,0,0,0.57,0,12.05,1.72,0,10.9,1.72,1.15,0,82.63,0,0,0,2.87,0,0,0,0
 60-70,0,0,0,11.78,0,9.82,51.04,1.96,0.98,0,0,3.93,0,0,20.61,0,0,14.72,1.96,0,0,68.71,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,10.8,0,12.76,61.84,0.98,0.98,0,0,5.89,0,0,22.58,0,0,9.82,2.94,1.96,0,81.48,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,15.93,1.06,10.62,89.21,0,2.12,2.12,0,20.18,0,0,28.68,0,1.06,3.19,0,0,0,154,1.06,0,1.06,0,0,3.19,0,0
 96-106,0,0,0,21.86,0,14.21,97.26,0,3.28,2.19,0,14.21,0,1.09,22.95,1.09,1.09,7.65,6.56,3.28,0,104.91,0,0,0,0,0,0,1.09,0
108-118,0,0,0,19.15,0,10.72,115.66,0.77,2.3,0,0,12.26,0.77,0,16.85,0.77,0,6.89,1.53,1.53,0,69.7,0,0,0,0.77,0.77,0.77,0,0
120,0,0,0,17.64,0,7.84,88.19,0,3.92,1.96,1.96,5.88,0,0,5.88,0,0,1.96,0,1.96,0,45.08,0,0,0,0,0,0,0,0
