stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,7,1,0,1,0,0,0,1,0,3,2,0,0,1,1,6,19,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0.82,0,2.46,0,0,0,0,0,0,1.64,0,19.7,8.21,0.82,0,0,0,1.64,18.06,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0.81,0,0,0,0,0.81,0,2.42,0.81,48.34,8.06,0.81,0,0.81,0,0,10.47,0,0,0,0
 48-58,0,0,0.57,0,0,0,12.05,0,0,3.44,0,0,0,0,0,0,0.57,0,38.44,5.16,0.57,0,0,0,0.57,13.2,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,30.43,0,0,44.17,0.98,0,0,0.98,0,0,0.98,0,82.45,8.83,0.98,0,0,0,0,12.76,0,0,0,0.98
 72-82,0,0,8.83,0.98,1.96,0.98,25.52,0,0,87.37,3.93,0,0,0,1.96,0,1.96,0.98,76.57,13.74,5.89,0,0.98,0,2.94,2.94,1.96,2.94,0,0
 84-94,0,0,3.19,0,0,0,21.24,0,0,48.85,5.31,0,0,1.06,2.12,1.06,2.12,0,41.42,9.56,1.06,0,0,0,0,4.25,0,0,0,0
 96-106,0,0,4.37,0,1.09,0,21.86,0,2.19,77.59,10.93,0,0,0,4.37,1.09,3.28,0,41.53,8.74,9.84,0,0,0,0,4.37,1.09,1.09,0,0
108-118,0,0,3.06,0,1.53,0,12.26,0,0,49.79,8.43,0,0,0,2.3,0.77,3.83,0,43.66,6.13,10.72,0,0,0,0,0.77,0,0,1.53,0
120,0,0,5.88,1.96,5.88,0,17.64,0,0,31.36,13.72,0,0,0,1.96,1.96,0,0,50.95,3.92,5.88,0,0,0,0,0,0,0,0,0
