stage,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,0,0,0,0,0
 24-34,0,10.67,0,0.82,0,0.82,0,0,0,0,0,0,0,1.64,0,4.1,0,0,0,9.85,0,0,0,0,33.66,0.82,1.64,0,0,0,0,0
 36-46,0,3.22,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,27.39,0.81,0,0,0,18.53,0,2.42,0,0,0,0,0.81
 48-58,0,3.44,0,10.9,0,1.15,0,0.57,0,0,0,0,0,0.57,0,5.74,0,0.57,0,17.21,0.57,0,0,0,16.64,0.57,4.02,0,1.15,0,0,0
 60-70,0,3.93,0,134.47,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0.98,4.91,1.96,21.59,0,0,0,0,23.56,0,1.96,0,5.89,0,6.87,0
 72-82,0,9.82,0,514.39,0.98,3.93,3.93,14.72,0,0,0.98,2.94,0,0,0,8.83,1.96,2.94,2.94,59.88,0.98,1.96,0,0.98,28.47,0,2.94,0,2.94,0.98,12.76,0
 84-94,0,13.81,0,270.82,0,1.06,0,25.49,1.06,0,0,2.12,0,0,0,7.43,1.06,2.12,2.12,48.85,0,0,0,0,71.16,1.06,4.25,0,4.25,0,21.24,0
 96-106,0,7.65,1.09,340.97,0,2.19,0,12.02,2.19,2.19,0,3.28,1.09,0,1.09,4.37,1.09,1.09,3.28,34.97,0,0,0,1.09,86.33,0,1.09,0,4.37,1.09,24.04,0
108-118,0,7.66,0.77,207.58,0,0,0,3.83,0.77,0,0.77,4.6,0,0,0,4.6,0.77,1.53,0,33.7,0.77,0,0,1.53,51.32,0,1.53,0.77,0,0.77,11.49,0
120,0,19.6,0,172.46,1.96,0,0,9.8,0,0,0,0,0,1.96,0,13.72,0,3.92,0,43.12,0,3.92,0,0,66.63,1.96,3.92,0,0,1.96,27.44,0
