stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,xanthophores
  3-4,210.85,3992.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0
  5-6,134.85,1544.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,6.13,36.78,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,15.77,0,0,0,10.51,0,0,10.51,0,0,0,0,0,0,139.32,7.89,0,34.17,2.63,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,6.29,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,1,0,3,1,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,3.28,0,0.82,13.95,0,0,0,0.82,0,0,1.64,0,4.1,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,4.03,0,0,8.06,0,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,1.96,0,0,0,0,2.94,0,0.98,0.98,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,6.87,0,4.91,0.98,0,2.94,0,0,2.94,0,2.94,0,0.98,6.87,0,0,0,1.96,0,0,0,0,0,2.94,0
 84-94,0,0,1.06,0,28.68,0,9.56,2.12,0,14.87,0,0,3.19,1.06,4.25,0,1.06,3.19,0,0,0,3.19,0,0,0,0,0,7.43,0
 96-106,0,0,1.09,0,48.09,0,8.74,1.09,1.09,18.58,0,1.09,3.28,0,9.84,1.09,0,3.28,0,0,0,0,0,0,0,0,0,15.3,1.09
108-118,0,0,0.77,0,74.3,0.77,42.13,1.53,0.77,29.87,0,0.77,1.53,0,3.06,0,0,2.3,0,0.77,0,3.83,0,0,0,0,0,10.72,0
120,0,0,0,0,62.71,1.96,17.64,3.92,0,23.52,0,0,0,0,3.92,0,0,5.88,0,0,0,3.92,0,0,0,0,0,3.92,0
