stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,160.5,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,8,0,0,2,1,0,0,0,0,0,1,0,0,1,309,4,0,0,0,1,11,16,0,0,0,3
 24-34,0,0,0,2.46,0,18.88,0,0,0.82,0,0,0.82,0,0,0,0.82,10.67,0,10.67,79.62,0.82,0,0,0.82,0,24.63,51.71,0,0,0.82,0
 36-46,0,0,0,1.61,0,6.45,0,0.81,2.42,0.81,0,0,0,0.81,0,0,45.12,0,10.47,16.11,0,0,0,0,0,19.34,38.67,0,0,1.61,0.81
 48-58,0,0,0,0.57,0,2.87,0,0,1.15,0,0,0,0.57,6.31,0,0,47.63,0.57,14.92,8.61,0,0,0,0,0,3.44,22.38,0,0,5.74,0
 60-70,0,0,0,1.96,0,5.89,0,0.98,0,0,0,0,0.98,6.87,0,0,65.76,0,6.87,7.85,0,0.98,0,0,0,0,7.85,0,0,8.83,0
 72-82,0,0,0,0,0,8.83,0,0,0.98,0,0,0,10.8,23.56,0,0,125.65,0.98,13.74,6.87,0,0,0,0,0,0.98,12.76,0.98,0,15.71,0
 84-94,0,0,0,4.25,0,10.62,1.06,3.19,4.25,0,1.06,0,10.62,19.12,1.06,0,79.65,0,18.05,1.06,0,1.06,0,0,0,0,7.43,1.06,1.06,10.62,0
 96-106,0,0,0,2.19,1.09,10.93,2.19,4.37,0,1.09,0,0,6.56,27.32,0,0,93.98,0,16.39,14.21,0,1.09,0,1.09,0,1.09,7.65,0,0,6.56,0
108-118,0,0.77,0,0.77,0,10.72,1.53,0,0.77,0,0,0,2.3,21.45,3.06,0,91.15,2.3,18.38,5.36,0,0.77,0,0,0,0,6.13,3.06,0.77,7.66,0
120,0,0,1.96,0,0,7.84,0,3.92,1.96,0,0,0,9.8,7.84,0,0,62.71,0,5.88,3.92,0,0,0,0,0,1.96,3.92,1.96,0,7.84,0
