stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,2.46,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,1.72,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,1.96,0.98,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,3.28,1.09,0,0,0,0,0,0,1.09,2.19,0,0,2.19,0,0,0,0
108-118,0,0,0,0,0,0.77,1.53,0,1.53,0.77,0,0,0.77,0,0,0,0,0,3.06,0,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
