stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,immune,liver,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,39.53,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,3,6,0,0,0,0,0,0,23,0,0,0,0,0
 24-34,0,0,0,5.75,0,0,0,0,0,0,28.73,0.82,0,0,0,0
 36-46,0,0,0.81,2.42,0,0,0,0,0,0,65.26,0.81,0,3.22,0,0
 48-58,0,0,0,4.02,0.57,0.57,0,0,0,0,32.71,4.59,0,1.72,0,0
 60-70,0,0,0.98,62.82,0,0,0,0,0,0,22.58,3.93,0,2.94,0,0
 72-82,0,0,1.96,119.76,0,1.96,0,0,0,0,30.43,2.94,0,1.96,0,0
 84-94,0,0,0,103.02,0,2.12,0,0,1.06,0,16.99,1.06,0,0,0,0
 96-106,0,0,0,81.96,0,2.19,0,0,0,0,9.84,4.37,0,0,1.09,4.37
108-118,0,0,1.53,54.38,0,1.53,0.77,0.77,0,0.77,13.79,0.77,0,1.53,0,2.3
120,0,0,1.96,43.12,0,0,0,0,0,0,5.88,0,0,0,0,0
