stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,7.89,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,3.15,0,0,22.03,0,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,7,3,3,0,0,67,0,0,0,0,0,0,0,0,6,0,0,4,63,3,19,11,5,0,1,3,10,86,5,201,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,9.85,0,0.82,59.92,0,0,0,0,0,3.28,0,0,5.75,0,0,5.75,72.24,0,60.74,9.85,0,0,0,0,0,38.58,3.28,135.44,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,20.95,0,0,43.51,0,0,0,0,0,0.81,0,0,8.06,0,0,2.42,76.54,0.81,65.26,3.22,0,0,0.81,0,0,16.11,0,93.46,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,37.87,0,1.15,37.87,0,0.57,0,0,0,2.87,0,0.57,14.35,0,0,2.87,48.2,0,46.48,7.46,0,0,0.57,0,0,6.89,0,82.05,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,33.37,0,0,39.26,0.98,0,0,0,0.98,9.82,0,0.98,13.74,0.98,0,0.98,48.09,0,53.98,12.76,0,0,0,0,0,8.83,0,39.26,0,0,0,0,0
 72-82,0,0,2.94,0,0,2.94,29.45,0,0,50.06,1.96,0.98,0,0,0,19.63,0,0,30.43,0.98,1.96,4.91,43.19,0.98,95.22,27.49,0,0,0.98,0,0,3.93,0,31.41,0,0,0.98,0,0
 84-94,0,0,1.06,2.12,2.12,0,21.24,0,0,42.48,1.06,0,0,0,0,16.99,0,0,18.05,0,0,3.19,24.43,0,88.15,32.92,0,1.06,0,1.06,0,8.5,0,30.8,0,0,0,1.06,0
 96-106,0,0,2.19,1.09,3.28,0,19.67,1.09,2.19,34.97,1.09,0,1.09,1.09,0,39.34,2.19,0,13.11,0,0,1.09,12.02,0,145.35,50.27,0,0,2.19,0,0,12.02,0,30.6,0,1.09,2.19,0,0
108-118,0,0,1.53,2.3,0.77,0.77,14.55,0,0.77,25.28,0,0,0,0,0,22.98,1.53,0,16.85,0,0.77,0,28.34,0,89.62,22.21,0,0,0,0,0,8.43,0,14.55,0.77,0,0,0,0
120,0,0,1.96,0,3.92,1.96,15.68,0,0,7.84,0,0,0,1.96,0,11.76,0,0,3.92,0,0,1.96,23.52,0,58.79,19.6,0,0,0,0,0,7.84,0,11.76,0,1.96,0,0,0
