stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,2227.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1072.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,34.17,0,18.4,0,0,0,78.86,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,775.47,26.29,0,0,297.04,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,28.32,0,6.29,0,56.65,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,443.72,22.03,0,0,138.47,0,3.15,6.29,3.15,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,1,15,111,17,0,79,1,0,19,4,8,2,0,8,0,0,0,68,2,0,36,693,14,3,12,16,0,86,0,37,4,1,24,148,0,0,2,0,1
 24-34,0,0,0,2.46,27.09,1.64,0,269.24,0,0.82,15.6,0,0,1.64,1.64,3.28,0,1.64,3.28,104.25,0,1.64,25.45,1196.81,0.82,5.75,18.06,0,0,26.27,0,0.82,0.82,0,1.64,215.06,0,0,10.67,0,0.82
 36-46,0,0,0,0.81,13.7,0.81,0,380.28,1.61,0,18.53,0.81,0,0.81,1.61,0.81,0.81,0.81,1.61,74.93,0,0,12.09,708.99,0,6.45,3.22,0,0,10.47,0,0.81,0.81,0.81,0,144.21,0,0,5.64,0,0
 48-58,0,0,0,0,20.66,3.44,0,369.53,0.57,0,25.25,1.72,0.57,1.15,0.57,1.72,2.3,1.15,1.72,56.81,0,2.87,8.61,345.43,0,2.87,2.87,0,0,7.46,0,0,0.57,0,0,39.59,0,0,2.87,0,0.57
 60-70,0.98,0,0,0,29.45,1.96,0,335.68,1.96,0.98,28.46,3.93,0,0.98,3.93,0,0.98,4.91,0,83.43,0.98,5.89,9.82,251.27,0,0,2.94,0,0,5.89,0,0,0,0,0,12.76,0,0,6.87,0,0
 72-82,0,0,0,0,15.71,1.96,0,118.78,0,0,23.56,2.94,0,0.98,1.96,0,0,0.98,0,49.08,0,0,5.89,107.98,0,0.98,1.96,0,0.98,0.98,0,0,0,0,0,3.93,0,0,4.91,0,0
 84-94,0,0,0,0,18.05,1.06,0,90.27,1.06,0,21.24,9.56,0,1.06,4.25,0,0,0,4.25,62.66,0,4.25,8.5,77.53,0,0,0,0,0,4.25,0,0,0,0,0,4.25,2.12,1.06,3.19,1.06,0
 96-106,1.09,0,0,0,7.65,0,0,44.81,0,0,10.93,2.19,0,0,1.09,0,1.09,1.09,0,24.04,0,0,3.28,54.64,0,0,1.09,0,0,2.19,0,0,0,0,0,2.19,0,0,4.37,1.09,0
108-118,0,0,0,0,6.13,0,0.77,51.32,0,0.77,11.49,0.77,0,0,3.83,0,0,0.77,0,16.85,0,0.77,4.6,58.21,0,2.3,0,0,0,0.77,0,0,0.77,0,0,0,0.77,0,3.06,0,0
120,0,0,0,0,7.84,11.76,0,103.87,1.96,0,19.6,3.92,0,0,7.84,1.96,0,0,3.92,29.4,0,3.92,7.84,158.74,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
