stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,60.46,2.63,0,0,15.77,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,28.32,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,68.95,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0.82,3.28,1.64,0,0.82,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,258.62,0,0,0,17.72,0,0,0,0,0,0,0,0,0.81,4.83,0,0,3.22,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,501.51,0.57,0,6.31,78.61,0,2.87,0,0,0.57,0.57,0,0,5.74,3.44,0,1.15,19.51,1.72,0,0,0,0.57,0,6.31,0,0,0,0,0
 60-70,0,0,0,649.77,0,0,9.82,97.17,0,0,0,0,0,0,0,0,1.96,9.82,0,0,13.74,0,0,0.98,0,0,0.98,0.98,0,0,0,0.98,0
 72-82,0,0,0,725.45,0,0,16.69,107,0.98,4.91,0,0,0,1.96,0.98,0.98,11.78,13.74,0.98,1.96,26.5,0,0.98,0,0,3.93,0,0.98,0.98,0,0,0,0
 84-94,0,0,0,1446.49,1.06,0,11.68,219.84,0,2.12,1.06,0,1.06,1.06,1.06,0,2.12,22.3,0,0,14.87,0,0,0,0,2.12,0,2.12,1.06,0,0,2.12,0
 96-106,0,0,0,1733.25,2.19,0,19.67,234.96,0,3.28,1.09,0,0,1.09,0,2.19,17.49,27.32,1.09,0,37.16,1.09,0,0,0,6.56,1.09,2.19,0,1.09,0,0,1.09
108-118,0,0,0,1801.54,0.77,0,3.06,324,0,2.3,1.53,0,0.77,0,1.53,0.77,10.72,13.02,1.53,0.77,18.38,0,2.3,0.77,0,2.3,0.77,0,0.77,0.77,0.77,0.77,1.53
120,0,0,0,1266.02,0,1.96,3.92,213.62,1.96,1.96,1.96,0,0,0,1.96,0,1.96,17.64,0,0,29.4,0,1.96,0,0,0,0,1.96,0,0,0,0,0
