stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,2,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,2,7,0,1,1,0,2,0,5,5,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,5.75,0,0,0,14.78,0,0,0,1.64,0,1.64,0,2.46,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0,4.03,0,0,1.61,7.25,0,0,0,1.61,0,0,0,8.86,0,0,0,0
 48-58,0,0,0,0.57,2.87,0,1.15,0,0,0,0,0,0,0.57,0,0,2.87,0,0,0.57,8.61,0.57,0,0,0,0,0,0,3.44,0,0.57,0,0.57
 60-70,0,0,0,0,1.96,0,2.94,0,0,0.98,5.89,0.98,0,0,0,0.98,5.89,0,0,0,11.78,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,12.76,0,3.93,0,0,1.96,3.93,0,0,0.98,0,0,13.74,0,0.98,0.98,13.74,0,0,0,0,0,0.98,0,1.96,0,0.98,0.98,0
 84-94,0,0,0,3.19,7.43,0,1.06,0,1.06,1.06,10.62,0,0,1.06,0,0,4.25,1.06,0,3.19,8.5,0,1.06,0,2.12,0,0,0,1.06,1.06,0,0,1.06
 96-106,0,0,0,1.09,1.09,0,1.09,0,0,0,2.19,3.28,1.09,0,0,0,4.37,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,4.6,0.77,1.53,0.77,0,0,4.6,0,0,2.3,0,0,5.36,0,0.77,0,7.66,0,0,0,0,0,0,0,1.53,0,2.3,0,0
120,0,0,0,0,3.92,0,3.92,0,0,0,1.96,5.88,0,0,0,0,7.84,0,0,0,7.84,0,0,0,0,0,0,0,3.92,0,0,0,0
