stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,625.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.67,2.63,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,72.38,34.62,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,23,6,0,2,0,0,0,2,7,0,6,0,1,0,0,0,28,0,7,29,131,0,2,0,0,13,8,4,19,29,0,8,0,0
 24-34,0,0,0,4.1,12.31,1.64,0,8.21,0,0.82,0,4.1,0,0,11.49,0,0,0,0,0,48.43,0,32.83,47.61,41.04,0,0,0,0.82,0,9.03,0,3.28,22.16,0,57.46,0,0.82
 36-46,0,0,0,0,0.81,0,0,7.25,0,0.81,1.61,6.45,0,0,5.64,0,0,0,0,0,62.04,3.22,17.72,22.56,13.7,0,0,0.81,0.81,0,3.22,0,0,21.75,0,29,0,0
 48-58,0,0,0,0,1.72,0,0,5.16,0,1.15,2.87,10.33,0,0,5.16,0,0,0,0,0,55.09,5.16,8.61,12.62,15.49,0,0,0,0,0,1.72,0,0,5.16,0.57,14.92,0,0.57
 60-70,0,0,0,0,1.96,0,0,5.89,0,0,4.91,3.93,0,0,1.96,0,0,1.96,0,0,59.87,3.93,5.89,9.82,6.87,0,0,0.98,0,0,0.98,0,0,3.93,0.98,14.72,0,0.98
 72-82,0,0,5.89,0,0.98,0,0,11.78,0,0,0.98,17.67,5.89,0,5.89,0,0,0,2.94,0,85.4,10.8,6.87,12.76,8.83,0,0,0.98,0,0,6.87,0,0,0.98,0.98,37.3,1.96,0
 84-94,0,0,1.06,0,2.12,1.06,0,8.5,2.12,0,1.06,13.81,6.37,0,2.12,3.19,0,2.12,9.56,0,54.16,5.31,3.19,9.56,13.81,0,0,0,0,0,8.5,0,0,1.06,1.06,31.86,3.19,1.06
 96-106,1.09,0,2.19,0,2.19,2.19,0,8.74,0,0,1.09,20.76,15.3,0,3.28,0,0,0,4.37,0,46.99,5.46,4.37,19.67,6.56,3.28,0,2.19,2.19,0,6.56,0,0,3.28,0,27.32,2.19,1.09
108-118,0,0,2.3,0,1.53,0.77,1.53,9.19,0,0.77,0.77,9.96,27.57,0,0.77,0.77,0,0.77,16.09,0.77,45.19,6.13,5.36,13.02,15.32,1.53,0,0,0.77,0,9.19,0,0,2.3,1.53,26.81,2.3,1.53
120,0,0,3.92,0,1.96,0,0,5.88,0,1.96,0,11.76,48.99,0,5.88,1.96,1.96,0,5.88,0,31.36,5.88,1.96,17.64,39.2,0,0,1.96,1.96,0,9.8,0,0,0,0,17.64,1.96,0
