stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,3.28,0.82,0,0,1.64,0,0,0,1.64
 36-46,0,0,0,0,0.81,0,0,0,0,2.42,0,0,0,5.64,0,0,0.81,4.03
 48-58,0,0,0,0,0,0,0.57,0,0,7.46,0.57,0,0,3.44,0,0,0,0
 60-70,0,0,0,0,2.94,0.98,0,0,0,7.85,0,0,0,4.91,0,0.98,0,0.98
 72-82,0,0,0,0,3.93,0,0,0.98,0,12.76,0,0,0.98,3.93,0,0,0.98,0.98
 84-94,0,0,0,0,2.12,0,0,0,0,3.19,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,1.09,4.37,0,2.19,0,0,21.86,1.09,1.09,0,12.02,1.09,0,0,0
108-118,0,0,0.77,0.77,3.06,0,0,0,0.77,13.02,0.77,0,0,7.66,0,0.77,1.53,0.77
120,0,0,0,0,1.96,0,0,0,0,5.88,1.96,0,0,3.92,0,0,1.96,0
