stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,4,0,6,0,0,0
 24-34,0,0,0,0,4.1,0,0,0,1.64,0,0,0,0,0.82,0,0.82,27.09,0,0,0,0,0,0,0,10.67,0,0,0
 36-46,0,0,0.81,0,4.03,0,0,0,0,0,0,0,0,0.81,0,0.81,76.54,0,0,0,0,0.81,0,0,20.14,0,0,0
 48-58,0,0,0.57,0,9.75,0,0,0,3.44,0,0,0,0.57,1.15,0,0,156.07,0,0.57,0,0,0,0,0,32.71,0,0,0
 60-70,0,0,3.93,0.98,17.67,0,0,0,21.59,0,0,0,0,8.83,0,0.98,355.31,0,0.98,0,0,0,0,0,40.24,0,0.98,0
 72-82,0,0,4.91,0,39.27,0,0,0,27.49,0,0,0,0,15.71,0,0,450.58,0.98,0,0,0,0,0,0,27.49,0.98,0,1.96
 84-94,0,0,4.25,0,37.17,0,1.06,0,11.68,0,1.06,0,0,13.81,0,0,197.54,0,2.12,0,0,0,0,0,15.93,0,0,0
 96-106,0,0,3.28,0,30.6,0,0,1.09,14.21,1.09,0,0,0,20.76,0,1.09,191.25,0,0,0,1.09,1.09,0,0,9.84,0,1.09,1.09
108-118,0,0,1.53,0,25.28,0.77,0,0,12.26,0,0,0.77,0,18.38,0.77,0.77,185.36,0,0,0,0,0.77,0,0.77,9.96,0,0.77,0.77
120,0,0,0,0,21.56,0,0,0,5.88,0,0,1.96,0,11.76,0,0,258.69,0,0,0,0,1.96,0,0,11.76,0,0,1.96
