stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching_gland,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,26.36,579.83,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,0,0
  7-9,5.26,7.89,7.89,0,0,10.51,2.63,0,0,0,65.72,0,23.66,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,37.76,0,12.59,0,3.15,0,6.29,0,0
 14-21,0,0,0,6,1,3,0,1,3,1,11,1,1,2,0,4,0,4,4
 24-34,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0
