stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,iridophores,melanocytes,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0
 24-34,0,0,0,2.46,0,0,0,0,17.24,0,0,0,0,1.64,0,1.64,4.93
 36-46,0,0,0,0.81,0,0,0.81,0,27.39,0,0.81,0,0,0.81,0,0,7.25
 48-58,0,0,0,0,0.57,0.57,0,0,26.4,0,0,1.15,0,1.15,0,0,10.9
 60-70,0,0,0,0.98,1.96,0,0,0,53,0,0,0,0,0,0.98,0,15.7
 72-82,0,0,0,1.96,0,0,0,0,103.07,0,0,1.96,0,0.98,0,0.98,33.38
 84-94,0,0,0,4.25,2.12,0,0,0,158.24,0,0,0,0,1.06,0,0,30.8
 96-106,0,0,0,1.09,2.19,0,0,0,127.86,0,0,2.19,0,3.28,0,0,45.9
108-118,0,0,0,0.77,0.77,0,0,0,100.34,0,0,2.3,0.77,3.06,0,0,26.04
120,0,0,1.96,3.92,1.96,0,0,0,111.71,1.96,0,0,1.96,0,0,0,31.36
