stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,5,0,1,1,0,1,2,0,0,0
 24-34,0,0,0,0.82,0,0,0,1.64,0,0.82,5.75,1.64,0,0,0,0,2.46,0,0,0
 36-46,0,2.42,0,0.81,0,0.81,0,0.81,0,0,7.25,0,0,0,0,0,1.61,0,0,0
 48-58,0,2.3,0,2.3,0,0,0,0,0,0,7.46,0,0.57,0,0,0,1.15,0,0,0
 60-70,0,1.96,0,0,0,0,0,0.98,0,0,2.94,0,0,0,1.96,0,0,0,0,0.98
 72-82,0,1.96,0,1.96,1.96,0.98,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0
 84-94,0,11.68,1.06,3.19,4.25,0,0,3.19,0,0,2.12,0,0,0,1.06,0,0,0,2.12,0
 96-106,0,27.32,2.19,1.09,2.19,0,0,3.28,0,0,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,31.4,0,5.36,3.83,0,0.77,0,0.77,0,2.3,1.53,0,0,0,0,0,0.77,0,0
120,0,39.2,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0
