stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,37,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,25,11,14,1,0,0,0,1,3,0,1,13,7,0,0,0,0,0
 24-34,0,0,0.82,193.72,0,0,11.49,0,9.85,0,0.82,0.82,3.28,0,0,0,0.82,0,0,150.22,0.82,0,61.56,36.12,136.26,0,0,0,1.64,0.82,0,0.82,0,2.46,16.42,0,0,0.82,0,0
 36-46,0.81,0,0,133.74,0.81,0,10.47,0.81,7.25,3.22,4.03,0,5.64,0,0.81,0,0.81,0,0.81,335.16,4.03,6.45,86.21,50.76,120.04,2.42,1.61,0,0.81,0,0,0.81,0.81,0,45.12,0,0.81,3.22,0,0
 48-58,0.57,0,0,134.84,0,0,18.36,0.57,18.94,5.74,5.74,0,14.35,0,0,0.57,0.57,1.15,0,372.4,0,13.77,64.84,38.44,100.42,0,1.15,0,1.15,1.15,0,0,0,0,36.72,0,1.15,0.57,0.57,0.57
 60-70,0.98,0,0,199.25,0,0,30.43,0,38.28,10.8,6.87,0,13.74,0,0,0,0,1.96,0.98,476.04,2.94,23.56,68.71,33.37,59.87,0.98,3.93,0,1.96,1.96,0,0,0.98,0,16.69,0,15.7,0.98,6.87,0
 72-82,0,0,0,153.14,1.96,0,34.36,0,14.72,7.85,11.78,0.98,17.67,0.98,0,0,0.98,0,0,597.83,2.94,13.74,71.66,59.88,29.45,1.96,2.94,0,2.94,0.98,0,0.98,0,0,16.69,0,16.69,1.96,15.71,0.98
 84-94,1.06,0,0,296.31,0,0,48.85,0,44.61,5.31,5.31,0,6.37,0,0,1.06,0,1.06,1.06,379.15,1.06,12.74,53.1,26.55,50.98,2.12,4.25,0,1.06,3.19,0,0,0,0,10.62,0,15.93,1.06,9.56,0
 96-106,1.09,0,0,356.27,2.19,0,53.55,0,76.5,18.58,20.76,5.46,19.67,2.19,3.28,0,1.09,2.19,1.09,466.65,6.56,19.67,59.01,50.27,18.58,5.46,7.65,0,3.28,9.84,0,1.09,0,0,7.65,0,17.49,8.74,12.02,1.09
108-118,0,0,0.77,429.71,0.77,1.53,48.26,0.77,140.94,12.26,6.89,2.3,13.02,2.3,2.3,0.77,0.77,3.06,0,461.88,2.3,14.55,49.02,42.89,21.45,3.06,13.02,0,4.6,3.06,0,0,0,0,3.83,1.53,18.38,1.53,7.66,0.77
120,1.96,0,0,195.98,0,0,19.6,0,58.79,1.96,3.92,0,5.88,0,0,0,0,0,0,301.81,3.92,9.8,25.48,41.16,25.48,1.96,13.72,0,5.88,3.92,0,0,0,0,5.88,0,7.84,0,7.84,0
