stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,94.41,18.88,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,3,0,24,0,0,0,0,2,0,245,24,2,4,2,0,0,2,3,0,104,0,0
 24-34,0,0,0,0.82,0.82,0,19.7,0.82,0,0.82,0,0.82,0.82,242.15,5.75,1.64,2.46,0,0,0,0,1.64,0.82,84.55,0,0
 36-46,0,0,0.81,0,1.61,0.81,20.14,0,0.81,0,0,1.61,0.81,193.36,0,4.03,0,0,1.61,0,0,0,0,62.84,0,0
 48-58,0,0,0,0,5.16,0,19.51,0,0,0,0,1.72,0,109.02,0,4.02,0.57,0,0,0,0,0.57,0,33.85,0,0
 60-70,0,0,0,0,2.94,0,13.74,0,0,0,0,4.91,0,105.02,0,2.94,0.98,0,0,0,0,0,0,23.56,0,0
 72-82,0,0,0,0,2.94,0,22.58,0,0,0,0,4.91,0,59.88,0,2.94,0,0,0,0,0,0,0,8.83,0,0
 84-94,0,0,0,0,6.37,0,15.93,0,0,1.06,0,4.25,0,36.11,0,5.31,5.31,0,0,0,0,2.12,0,9.56,0,0
 96-106,0,0,0,2.19,4.37,0,16.39,0,0,0,1.09,2.19,0,32.79,0,7.65,5.46,0,1.09,0,0,3.28,0,9.84,0,1.09
108-118,0,0,0.77,0,5.36,0,5.36,0,0,0,0,0.77,0,26.04,0,3.83,3.06,0,0,0,0,0.77,0,6.13,0.77,0
120,0,0,0,0,5.88,0,5.88,0,0,0,0,0,0,19.6,0,3.92,0,0,0,0,0,0,0,0,0,0
