stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,2.46,3.28,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,4.83,0,0,0,0,0,0,1.61,0,10.47,0.81,0.81,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,1.72,0,0,0.57,2.3,0,0.57,0,0,0,0,1.72,0,6.89,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,1.96,0,0,2.94,3.93,0,0,0,0,0.98,0,0,1.96,7.85,0,0.98,0,0,0,0,0,0,0.98,0
 72-82,0,0,1.96,0,0,11.78,1.96,0.98,1.96,0,0,0,0,1.96,0.98,10.8,0,0.98,0,0.98,0,1.96,0,0.98,0.98,0
 84-94,0,0,3.19,0,0,5.31,0,0,1.06,0,3.19,0,0,1.06,1.06,3.19,0,2.12,1.06,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,4.37,1.09,0,0,0,4.37,1.09,0,2.19,2.19,5.46,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,6.13,0.77,0.77,6.89,2.3,0,1.53,0,2.3,0,0,0.77,0,4.6,0.77,0,0,0,0,0,0,0,0,0
120,0,0,5.88,0,1.96,7.84,5.88,1.96,0,0,0,0,1.96,0,1.96,3.92,0,3.92,0,0,0,0,0,0,0,0
