stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,27,64,4,0,2,0,1,0,1,2,1,0,0,0,0,0,0,14,0,0,17,12,1,0,0,0,54,0,13,17,0,48,4,0,0,0,0,0
 24-34,0,13.95,15.6,132.98,0,0,3.28,0,7.39,0.82,0.82,4.1,0,0,0,5.75,0,0.82,4.1,33.66,4.1,0,32.01,25.45,1.64,1.64,0,0,154.32,0,0,20.52,0,14.78,5.75,0,0,0.82,0,0
 36-46,0,4.83,3.22,88.62,0,0,6.45,0,9.67,7.25,1.61,3.22,3.22,0,0,2.42,0,0,1.61,38.67,4.83,0.81,20.14,41.09,7.25,4.03,0.81,0,156.3,0,0,15.31,0,0.81,6.45,0,0,2.42,0,0
 48-58,0,4.02,0,155.5,0.57,0,10.9,0,29.26,2.3,4.02,2.87,19.51,0,0.57,1.15,0.57,0,2.87,52.79,4.59,0,5.74,45.33,0.57,3.44,0,0,204.85,0.57,0,29.26,2.3,0,9.18,0,0,0.57,0,0.57
 60-70,0,1.96,0,184.53,0,0,9.82,1.96,44.17,4.91,9.82,0.98,5.89,0,0,1.96,2.94,1.96,2.94,68.71,4.91,0,9.82,26.5,0,7.85,0,0,177.66,0,0,33.37,0,0,1.96,0,0,0.98,0,0
 72-82,0,4.91,0,180.63,1.96,3.93,15.71,3.93,55.95,9.82,20.61,0.98,8.83,0,1.96,2.94,0.98,1.96,1.96,101.11,9.82,0,4.91,50.06,0.98,15.71,0,0,351.43,0,0,58.9,1.96,0,1.96,0.98,0,1.96,0,0
 84-94,0,1.06,0,326.05,1.06,15.93,20.18,1.06,127.44,8.5,9.56,3.19,12.74,0,1.06,5.31,0,1.06,2.12,64.78,6.37,0,8.5,32.92,0,32.92,1.06,0,757.23,0,0,129.57,6.37,0,0,2.12,2.12,5.31,0,0
 96-106,0,2.19,0,356.27,2.19,19.67,17.49,12.02,131.14,2.19,15.3,4.37,0,2.19,4.37,10.93,0,2.19,4.37,80.87,9.84,0,5.46,45.9,1.09,78.68,0,0,872.09,0,0,110.38,18.58,0,2.19,5.46,1.09,2.19,0,1.09
108-118,0,3.06,0,288.77,3.06,56.68,8.43,4.6,144.77,6.13,11.49,7.66,0,0.77,2.3,6.13,0,1.53,5.36,66.64,18.38,0.77,4.6,25.28,0,40.6,0,0,650.3,0,0,76.6,9.19,0,0.77,4.6,0,3.06,0.77,0.77
120,0,0,0,158.74,0,7.84,17.64,0,60.75,3.92,9.8,11.76,1.96,0,1.96,1.96,0,1.96,1.96,76.43,5.88,0,0,27.44,0,25.48,0,0,370.4,0,0,39.2,5.88,0,0,1.96,0,1.96,0,0
