stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,1,28,1,0,1,0,0,1,0,0,7,0,0,3,0,0
 24-34,0,2.46,0,1.64,0,0,1.64,0,0,0,0,0,0,0,0,0,0,30.37,0,3.28,0,0,2.46,35.3,0,0,0,0,0,3.28,0,0.82,9.85,0,0,5.75,0,0
 36-46,0,0.81,0,0.81,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,18.53,0,1.61,0,0,0.81,20.14,0,0.81,0.81,0,0,3.22,0,0,4.03,0,0,6.45,0,0
 48-58,0,0,0,0,0.57,0,1.15,0.57,0,1.72,0.57,0,0,0,0,0,0,23.53,0,1.15,0,0,0.57,4.59,0,0,0,0,0,1.72,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,2.94,0,0,0.98,0,0,0,0,0,0,0,42.21,0,2.94,0,0,0,7.85,0,0,0,0,0,2.94,0,0,3.93,0,0,0,0,0.98
 72-82,0,0.98,0,0.98,1.96,0.98,7.85,0,1.96,1.96,2.94,0,1.96,0,0.98,0.98,0,161.97,0,15.71,0,0.98,0.98,44.17,0,1.96,0,0,1.96,7.85,0,0,0.98,0,0,0,0,0
 84-94,0,2.12,0,4.25,2.12,2.12,14.87,1.06,0,6.37,4.25,0,0,2.12,1.06,0,0,512.96,1.06,6.37,1.06,1.06,0,42.48,0,1.06,1.06,0,7.43,16.99,0,0,2.12,3.19,0,0,0,1.06
 96-106,0,3.28,0,21.86,10.93,4.37,44.81,2.19,2.19,10.93,7.65,0,1.09,9.84,1.09,2.19,2.19,805.43,0,24.04,1.09,0,3.28,175.95,2.19,0,3.28,1.09,31.69,16.39,2.19,0,3.28,1.09,0,7.65,2.19,0
108-118,0,4.6,0,13.02,6.13,9.96,34.47,2.3,2.3,13.02,6.13,0,0,4.6,0.77,4.6,0.77,1512.78,0,30.64,1.53,2.3,4.6,180.77,1.53,0,1.53,0,13.79,11.49,0,0,3.06,0,0.77,1.53,0,2.3
120,0,3.92,1.96,13.72,3.92,7.84,27.44,3.92,3.92,13.72,13.72,0,0,3.92,0,0,0,815.27,0,25.48,0,0,0,119.55,0,1.96,1.96,0,11.76,9.8,1.96,0,1.96,0,1.96,1.96,1.96,0
