stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,1.61,0,0,0.81,0,0,0,0,17.72,0,0,1.61,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,14.92,0.57,0,2.87,0,0,0,0,81.48,0,0.57,6.31,0.57,0,0,0,0,0,0,0,0.57,0,1.15,0,0,0
 60-70,0,0.98,0.98,0,7.85,0.98,0.98,30.43,0.98,3.93,1.96,0,0,1.96,0,155.08,0,0.98,14.72,4.91,0,0,0,0,2.94,0,0,0,0,12.76,0,0.98,0
 72-82,0,0,4.91,0,23.56,0.98,1.96,53.01,2.94,2.94,7.85,0,0.98,4.91,0,448.62,0,3.93,24.54,19.63,0,0.98,0,0,1.96,0,0,0,0,35.34,0.98,4.91,0.98
 84-94,0,0,4.25,0,28.68,0,1.06,45.67,1.06,20.18,11.68,0,1.06,6.37,0,351.53,1.06,5.31,20.18,3.19,0,0,0,0,3.19,1.06,0,2.12,0,29.74,1.06,15.93,1.06
 96-106,1.09,0,9.84,0,27.32,0,0,49.18,6.56,8.74,12.02,0,0,5.46,1.09,495.06,1.09,4.37,21.86,26.23,0,0,0,1.09,1.09,0,1.09,1.09,0,57.92,0,26.23,0
108-118,0,0,3.06,0.77,10.72,0,0.77,36,2.3,10.72,6.89,0.77,0.77,0.77,0,422.05,0,11.49,9.96,29.87,0.77,0,0,0,1.53,0,0,2.3,0.77,34.47,0.77,13.02,0
120,0,0,1.96,0,9.8,0,1.96,45.08,0,0,9.8,0,1.96,3.92,0,299.85,0,11.76,11.76,21.56,0,0,1.96,5.88,0,0,0,0,0,56.83,0,13.72,0
