stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,12.59,0,3.15,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,129.03,6.29,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,23,5,0,8,0,0,0,0,3,3,0,0,2,0,1,0,0,9,0,0,4,127,3,3,1,4,0,7,1,12,3,0,10,38,0,0,2,0,2
 24-34,0,0,0,14.78,2.46,0,30.37,0,0,0,0.82,0,0.82,1.64,0.82,5.75,0,0.82,0.82,0,21.34,2.46,0.82,9.03,255.29,2.46,2.46,4.1,0,0,13.13,0,0,0,0.82,4.93,69.77,0,0,5.75,0,1.64
 36-46,0,2.42,0,3.22,1.61,0,89.43,0,0.81,1.61,15.31,0.81,0.81,0,1.61,0.81,1.61,0.81,0.81,2.42,33.84,0,0,9.67,331.94,0.81,4.03,4.83,0,0,15.31,0,0,0.81,0,0,82.98,0,0,3.22,0,3.22
 48-58,0,0.57,0,5.74,1.15,0,139.43,1.15,1.15,0.57,18.36,0.57,3.44,0.57,0.57,0.57,0.57,1.15,0,1.15,39.59,1.15,0.57,4.59,270.26,0.57,2.87,1.15,0,0,5.16,0,0,0,0,0,52.79,0,0,4.59,0,3.44
 60-70,0,0,0,5.89,0.98,0,236.55,0,0,0,20.61,1.96,1.96,0,2.94,0,0,1.96,0.98,0.98,56.93,1.96,0,5.89,303.29,0.98,2.94,1.96,0,0,10.8,0,0,0,0,0,32.39,0,0.98,0,0,3.93
 72-82,0,4.91,0,4.91,6.87,0,139.4,1.96,0,0.98,25.52,0.98,0.98,4.91,3.93,2.94,0,1.96,0,0,72.64,0,0.98,3.93,185.53,0,1.96,2.94,0,0.98,11.78,0,0,0,0,0,12.76,0.98,0.98,3.93,3.93,3.93
 84-94,0,7.43,0,11.68,10.62,0,98.77,0,2.12,1.06,16.99,3.19,2.12,0,4.25,2.12,4.25,1.06,1.06,0,45.67,3.19,0,8.5,116.82,0,0,4.25,0,0,41.42,0,0,0,0,0,6.37,2.12,1.06,5.31,0,2.12
 96-106,0,0,0,13.11,5.46,0,77.59,1.09,1.09,1.09,14.21,3.28,0,1.09,9.84,5.46,4.37,1.09,3.28,0,41.53,2.19,1.09,4.37,75.41,1.09,5.46,1.09,0,0,31.69,0,0,1.09,0,0,7.65,1.09,0,10.93,1.09,1.09
108-118,0,1.53,0,22.21,1.53,1.53,61.28,1.53,4.6,2.3,16.09,4.6,0,0,4.6,9.19,3.06,1.53,1.53,0.77,36.77,1.53,1.53,3.83,112.6,0.77,1.53,5.36,0,0.77,20.68,0,0,0,0,0,1.53,2.3,0,7.66,0.77,3.83
120,0,0,0,19.6,3.92,0,48.99,1.96,5.88,0,23.52,7.84,0,0,5.88,1.96,1.96,1.96,1.96,0,27.44,1.96,0,5.88,101.91,3.92,3.92,5.88,0,0,23.52,0,0,0,0,0,1.96,1.96,0,7.84,1.96,0
