stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,somites,spinal.cord
  3-4,65.89,1686.78,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0
  5-6,24.52,251.32,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,7.89,0,2.63,0,5.26,0,2.63,0,49.95,5.26,0,18.4,0,7.89,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,9.44,0,0,9.44,0,3.15,0,0
 14-21,0,0,0,1,1,0,0,0,5,0,2,0,0,1,1,1
 24-34,0,0,0,0,0.82,0,0,0,4.1,0,0.82,0,0,0,0,1.64
 36-46,0,0,0,0,1.61,0,0,0,4.03,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,2.3,0,0,0,2.87,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,3.93,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,2.3,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
