stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,300.35,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,67.43,18.39,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,134.06,18.4,0,13.14,0,0,42.06,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,504.71,131.44,0,0,333.85,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,22.03,0,6.29,37.76,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,472.05,94.41,0,0,682.89,0,0,15.73,34.62,0,9.44,0,0,0,0,0,0
 14-21,0,2,0,9,14,13,3,0,0,0,22,8,0,1,0,0,0,68,0,0,49,186,70,0,1,3,0,0,334,8,3,171,173,0,0,2,0,0
 24-34,0,0,1.64,3.28,8.21,0.82,8.21,0,0.82,1.64,19.7,0.82,0,0.82,0.82,0,0,32.83,0,0,9.03,240.51,3.28,0,0,0,0,4.1,0.82,0,1.64,19.7,161.71,0,0,2.46,0,0
 36-46,0,0,0,0,4.83,0.81,20.95,0.81,1.61,0.81,48.34,0.81,0,2.42,1.61,0,0,37.87,0,0,11.28,184.5,0,4.03,0,0,0.81,10.47,0,0,0,0.81,134.55,0,0,0,0,0
 48-58,0,0,0,0,6.31,1.72,11.48,0,2.3,1.72,54.51,0,0,1.15,0,0,0,31.56,0.57,0,4.02,52.22,0,1.15,1.72,0,0.57,2.3,0,0,0,0,61.4,0,0.57,0.57,0.57,0.57
 60-70,0,0,0,0,3.93,0.98,17.67,0,1.96,1.96,89.32,0,0,0.98,0.98,0.98,0,31.41,0,1.96,0.98,27.48,0,0,0,0,0,6.87,0,0,0,0,30.43,0,0,0,0.98,0
 72-82,0,0,0,0,5.89,9.82,18.65,0,0,0.98,98.17,0.98,0,0.98,0,0.98,0,45.16,0,0,1.96,17.67,0,0,4.91,0,0,4.91,0,0,0,0,15.71,0.98,0,4.91,0,0
 84-94,0,0,0,0,9.56,3.19,11.68,0,4.25,1.06,60.54,0,0,2.12,0,1.06,0,26.55,1.06,3.19,1.06,23.36,1.06,1.06,1.06,0,0,12.74,0,0,0,0,7.43,1.06,0,1.06,1.06,0
 96-106,0,0,0,0,12.02,6.56,6.56,0,2.19,2.19,60.11,0,0,1.09,0,0,0,21.86,0,2.19,0,21.86,0,3.28,5.46,0,0,3.28,0,0,0,0,13.11,1.09,0,2.19,1.09,0
108-118,0,0,0,0,9.19,3.83,6.89,0,6.13,2.3,60.51,0.77,0,0,0,0.77,0.77,20.68,0,0,0,19.15,0,3.06,0.77,0,0,3.06,0,0,0,0,8.43,1.53,1.53,0,0,0.77
120,1.96,0,0,0,1.96,5.88,11.76,0,5.88,0,54.87,0,0,0,0,0,0,23.52,0,0,1.96,7.84,0,7.84,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0
