stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,12,1,0,0,0,3,0,3,2,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,9.03,0,0,0,0,0,0,1.64,3.28,0
 36-46,0,1.61,0,0,0,0,0,0,0,0.81,0,16.92,0.81,0,0,1.61,0,0,0,8.06,0
 48-58,0,0.57,0.57,0.57,0,0.57,0,0.57,0.57,0,0.57,15.49,0,0,0,1.15,0,0,0,7.46,0
 60-70,0,1.96,2.94,0,0,0,0,0,0,1.96,0,20.61,0,0,0,0.98,0,0.98,0,6.87,0
 72-82,0,0.98,1.96,0.98,0.98,0.98,0,0,0,0.98,0,21.6,0,0,0,0,0,0,0,0.98,0
 84-94,1.06,4.25,1.06,0,0,0,1.06,0,0,0,1.06,10.62,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,1.09,0,6.56,1.09,1.09,0,0,0,0,0,1.09,0
108-118,0,2.3,0,0.77,0,0.77,1.53,0,0,0.77,0,8.43,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0
