stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,14,2,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,59,0,0,0,0,0,7,0,6,9,0,1,0,2
 24-34,0,0,0.82,1.64,0,12.31,0,0,2.46,0,0,0,0,0,0.82,0,0,14.78,13.13,0,4.93,96.04,0,0.82,0,0,1.64,0,0,1.64,32.01,0,3.28,0,2.46
 36-46,0,0,0,4.03,0,11.28,0,0.81,0.81,0,0,0,0,0,0.81,0,0,0,7.25,0,5.64,48.34,0,0,0,0,0,0,0,0,7.25,0,4.03,0,0
 48-58,0,0,0,1.72,0,11.48,0,0,4.02,0.57,0,0,0,0,0,0.57,0,0,9.75,0,3.44,28.69,0,0,0.57,0,0,0,0,0,3.44,0,1.15,0,0
 60-70,0,0,0,0,0,5.89,0,0,3.93,0.98,0,0,0,0,0,0,0,0,6.87,0,2.94,23.56,0.98,0,0,0,0,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,0.98,0,0,11.78,0,0,7.85,0.98,0,0.98,0,0,0,0,0,0,10.8,1.96,0.98,28.47,0,0,0.98,0,0.98,0,0.98,0,2.94,0,0.98,0,0
 84-94,0,0,0,1.06,0,2.12,0,1.06,3.19,0,0,0,0,0,0,0,0,0,6.37,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,2.19,0,0,2.19,0,0,0,0,1.09,1.09,0,1.09,0,8.74,0,2.19,7.65,0,1.09,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,1.53,0.77,0,0,0.77,0,0,0,0.77,0,6.89,0,2.3,7.66,0,0,0.77,0,1.53,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,1.96,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0,9.8,0,0,11.76,0,0,0,0,1.96,0,0,0,0,0,0,0,0
