stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,17,0,0,0,0,0,2,0,0,15,9,0,0,1,0,0
 24-34,0,0.82,8.21,0,1.64,0,0.82,0,0,0,1.64,0,0.82,0,0,0.82,0,10.67,0.82,0,4.1,68.95,0,0.82,0,0,13.95,0,0,0.82,8.21,18.06,0,0,1.64,0,4.1
 36-46,0,0,5.64,0.81,4.83,0,0,0.81,4.83,0.81,0,0.81,0,0,0,0.81,1.61,33.03,0,0.81,6.45,161.13,1.61,0.81,0.81,0,16.11,0,0.81,0,0.81,48.34,0,0,1.61,0,0
 48-58,0,0,4.02,0,23.53,1.15,0,0.57,4.02,0,1.72,0,0,0.57,0.57,0,0.57,30.41,1.15,0.57,8.03,232.39,0,0.57,0,0,19.51,0,1.15,1.15,0,49.92,0,0.57,0,0,2.3
 60-70,0,0,1.96,0,62.82,0.98,3.93,1.96,7.85,0.98,0,0.98,0,0,1.96,1.96,0,70.67,0,0,4.91,466.22,0.98,0.98,0,0,45.15,0,0,0.98,0,41.22,0,0,1.96,0.98,3.93
 72-82,0.98,0,6.87,0,69.7,0.98,0,0.98,6.87,0,3.93,1.96,0,1.96,0.98,0.98,0,97.18,0.98,1.96,10.8,321.99,0.98,0.98,0,0.98,32.39,0,0,0,0,31.41,0,4.91,1.96,3.93,0
 84-94,2.12,0,20.18,1.06,54.16,3.19,2.12,1.06,14.87,3.19,2.12,3.19,1.06,1.06,1.06,0,0,72.22,1.06,2.12,9.56,214.53,2.12,2.12,0,2.12,121.07,0,0,0,0,21.24,0,2.12,6.37,2.12,4.25
 96-106,1.09,0,21.86,1.09,41.53,5.46,1.09,3.28,6.56,5.46,3.28,1.09,1.09,1.09,5.46,2.19,1.09,85.24,1.09,2.19,13.11,190.16,3.28,5.46,0,3.28,73.22,0,0,0,0,9.84,0,2.19,6.56,4.37,6.56
108-118,0.77,0.77,25.28,0,36.77,5.36,8.43,3.06,4.6,3.06,3.06,3.06,0,6.13,3.83,0.77,3.83,82.72,3.83,0.77,15.32,244.34,0,3.83,0,2.3,89.62,0,0.77,1.53,0,9.19,0.77,1.53,4.6,1.53,9.19
120,1.96,0,17.64,1.96,45.08,3.92,9.8,3.92,13.72,1.96,0,11.76,0,1.96,3.92,0,0,78.39,0,5.88,19.6,276.33,0,5.88,0,1.96,74.47,1.96,0,0,0,7.84,0,0,3.92,0,0
