stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord
  3-4,52.71,1713.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0
  5-6,85.81,662,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,6.13,6.13,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,39.43,0,0,18.4,0,10.51,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,25.18,0,0,18.88,0,0,3.15,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,0,0,0,1,8,0,0,0,0,1,0,2,5
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0.82,34.48,0.82,0,0,0,0,0,0,6.57
 36-46,0,0,0.81,0,0,0,6.45,0,0,0,0,0,0.81,0,59.62,0,0,0,0,0,0,0,10.47
 48-58,0,0,0,0,0,0,5.16,0,1.72,0,0,0,0,0,64.84,0,0,0,0,0,0,0,4.59
 60-70,0,0,0,0,0,0,1.96,0,1.96,0,0.98,0,0.98,0,97.17,1.96,0,0,0,0,0,0,3.93
 72-82,0,0,0,1.96,0,0.98,11.78,0.98,0.98,0,1.96,0.98,0.98,0.98,99.15,1.96,0,0,0,0,0,0,3.93
 84-94,0,0,1.06,0,0,0,6.37,0,1.06,0,0,0,3.19,0,52.04,2.12,0,0,0,0,0,0,3.19
 96-106,0,0,0,2.19,0,0,5.46,0,0,0,0,0,1.09,0,50.27,6.56,0,0,0,0,0,0,2.19
108-118,0,0,0,0,0.77,0.77,5.36,0,1.53,0,0,0,0.77,0,57.45,1.53,1.53,0,0,0,0.77,0,2.3
120,0,0,0,0,0,0,7.84,0,3.92,0,1.96,0,0,0,52.91,1.96,0,0,0,0,0,0,1.96
