stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,16,5,2,0,0,0,0,0,0,1,6,0,0,0,0,1
 24-34,0,0,0.82,0,0,6.57,0,1.64,0.82,0,0,0.82,0.82,0,0,27.91,0,0,0,4.1,6.57,0,12.31,63.21,0.82,9.85,0,0,0,0,2.46,1.64,0.82,22.98,0,0,5.75,0,3.28
 36-46,0,0,0,0,0.81,1.61,0,3.22,4.03,0,0.81,1.61,0,0,0.81,46.73,0,0,0,5.64,42.7,0,10.47,116.82,0,13.7,0.81,0,0,0,0,0,0,41.89,0,0,3.22,0,14.5
 48-58,0,0,0,0,1.15,0,0,14.92,4.02,0.57,1.72,3.44,0,0.57,0,35.58,1.72,1.15,0,2.3,25.82,0,8.61,183.04,1.15,14.35,1.15,0,0,0,1.15,0,0,45.33,0,0,5.74,0,16.07
 60-70,0,0,0,0,3.93,0,0,82.45,1.96,0,1.96,28.46,0,0,0,63.8,15.7,2.94,0,1.96,14.72,0,6.87,296.42,0,14.72,1.96,0,0,2.94,0,0,0,65.76,0,0,6.87,0.98,15.7
 72-82,0,0,0,0,2.94,4.91,0,160.01,0.98,0.98,2.94,41.23,0.98,0,0.98,66.75,9.82,4.91,1.96,1.96,28.47,0,7.85,281.74,0,27.49,7.85,0,0,0,0,0,0,46.14,0.98,0,20.61,0.98,7.85
 84-94,0,0,0,0,1.06,4.25,0,90.27,0,0,0,26.55,2.12,0,0,104.08,20.18,1.06,0,1.06,18.05,0,9.56,137,1.06,10.62,3.19,0,0,3.19,1.06,0,0,21.24,0,0,15.93,2.12,13.81
 96-106,0,0,1.09,0,6.56,7.65,1.09,97.26,0,2.19,1.09,38.25,3.28,0,0,104.91,27.32,6.56,1.09,2.19,19.67,3.28,1.09,115.84,2.19,28.41,7.65,0,0,0,1.09,0,0,8.74,1.09,3.28,20.76,2.19,15.3
108-118,0,0,0,0,1.53,3.06,0.77,65.11,2.3,0,0,26.04,0,0,0.77,83.49,46.72,6.13,0,3.06,16.09,0,3.83,130.21,4.6,19.15,3.06,0,2.3,2.3,0.77,0,0,9.19,0,0,12.26,0.77,11.49
120,0,0,0,0,1.96,1.96,0,35.28,1.96,0,0,25.48,1.96,0,1.96,101.91,15.68,5.88,0,0,17.64,0,1.96,133.27,5.88,19.6,0,0,3.92,3.92,1.96,0,0,5.88,1.96,0,5.88,1.96,9.8
