stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,38,2,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,11,0,0,4,48,1,0,4,2,0,2,1,10,0,1,4,16,0,0,0,0
 24-34,0,0,0,0.82,4.93,0.82,0,4.1,0,0,0,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0,1.64,26.27,0,0.82,2.46,0,0,3.28,0,0,1.64,0,0,4.93,0,0,2.46,0
 36-46,0,0,0,0,5.64,0,0,4.83,0.81,0,0,0.81,0,0,0.81,0,0.81,0,0,0,0,6.45,0,0,2.42,25.78,0.81,3.22,1.61,0,0,3.22,0,0,1.61,0,0,8.86,0,0,0,0
 48-58,0,0,0,0,3.44,0,0,3.44,0,1.72,0,1.72,0,0,0,0,0,0,0.57,0,0,3.44,0.57,0,2.87,9.75,0,1.15,0.57,0,0,6.31,0,0,0.57,0,0,1.15,0,0,0.57,0
 60-70,0,0,0,0,8.83,0.98,0,3.93,0,0.98,0,4.91,0.98,0,0,0,0.98,0,1.96,0,0,0.98,0,0,0,22.58,0,0.98,2.94,0,0,0,0,0,0.98,0,0,1.96,0,0,1.96,0
 72-82,0,0,0.98,0,10.8,0.98,0,4.91,0,0,0,4.91,1.96,0,0,0,0,0.98,1.96,0,0,10.8,0,0.98,0.98,20.61,0,5.89,0,0,0.98,2.94,0,0,0,0,0,2.94,0,0,1.96,1.96
 84-94,0,0,1.06,0,15.93,7.43,0,9.56,0,2.12,0,12.74,1.06,1.06,0,0,2.12,0,4.25,2.12,0,11.68,1.06,1.06,0,10.62,0,7.43,3.19,0,0,31.86,0,0,2.12,0,0,1.06,2.12,1.06,1.06,1.06
 96-106,0,0,2.19,0,13.11,6.56,0,14.21,1.09,1.09,1.09,14.21,3.28,0,1.09,1.09,1.09,0,2.19,0,0,21.86,2.19,1.09,1.09,21.86,0,9.84,6.56,0,1.09,24.04,0,0,0,0,0,2.19,2.19,0,3.28,2.19
108-118,0,0,0.77,0,21.45,1.53,3.06,6.13,0.77,5.36,0,16.09,4.6,0,0,0,0.77,1.53,4.6,0,0.77,17.62,2.3,1.53,1.53,19.15,1.53,1.53,7.66,0,0,19.15,0,0,0,0,0,1.53,1.53,0,2.3,1.53
120,0,0,0,0,37.24,1.96,0,3.92,0,9.8,3.92,9.8,3.92,0,0,0,1.96,1.96,0,0,0,7.84,0,0,3.92,35.28,0,3.92,9.8,0,0,29.4,0,0,0,0,0,0,0,0,0,0
